*molname,r_i_glide_gscore,r_user_IC50,r_user_exp_dg,s_user_SMILES,S+logP,S+Sw,UGT1A1,UGT1A3,UGT1A4,UGT1A6,UGT1A8,UGT1A9,UGT1A10,UGT2B7,UGT2B15,MWt,S+Sw_uM
1,-8.2615,530,-8.55731,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)CCCC3)cc1,3.17118975,0.0011,Yes (97%),No (51%),Yes (78%),No (98%),Yes (92%),Yes (88%),Yes (89%),No (56%),Yes (73%),264.32902,4.3274
2,-8.52681,220,-9.07799,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C)CCC3)cc1,3.423413674,0.0007,Yes (97%),No (51%),Yes (74%),No (98%),Yes (92%),Yes (79%),Yes (89%),No (56%),Yes (62%),278.35606,2.6365
3,-8.63661,60,-9.84741,CC[C@H]1CCCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1,3.808806639,0.0004,Yes (97%),No (51%),Yes (74%),No (98%),Yes (92%),Yes (83%),Yes (89%),No (42%),Yes (59%),292.3831,1.4082
4,-8.52426,130,-9.38954,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C(C)C)CCC3)cc1,4.134486355,0.0003,Yes (97%),No (49%),Yes (67%),No (98%),Yes (92%),Yes (75%),Yes (89%),No (47%),Yes (51%),306.41014,0.8954
5,-8.8935,10,-10.9085,CCC[C@H]1CCCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1,4.230563932,0.0002,Yes (97%),No (49%),Yes (67%),No (98%),Yes (92%),Yes (88%),Yes (89%),No (47%),Yes (59%),306.41014,0.7666
6,-8.48062,85,-9.64115,CCO[C@H]1CCCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1,3.209588989,0.0014,Yes (97%),No (61%),Yes (94%),No (98%),Yes (84%),Yes (98%),Yes (78%),No (58%),Yes (49%),308.3825,4.5656
7,-8.99551,25,-10.3658,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CC(C)C)CCC3)cc1,4.54791965,0.0002,Yes (97%),No (48%),Yes (59%),No (98%),Yes (92%),Yes (79%),Yes (72%),No (49%),Yes (51%),320.43718,0.4953
8,-8.39389,140,-9.34565,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CC(F)(F)F)CCC3)cc1,3.391032121,0.0002,Yes (97%),No (48%),Yes (42%),No (98%),Yes (97%),Yes (79%),Yes (72%),No (60%),No (55%),346.35439,0.5674
9,-8.82909,35,-10.1666,CCCC[C@H]1CCCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1,4.701025495,0.0001,Yes (97%),No (48%),Yes (59%),No (98%),Yes (92%),Yes (98%),Yes (78%),No (55%),Yes (56%),320.43718,0.4139
11,-8.2337,1500,-7.94124,Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C)CCN3)cc1,2.590058616,0.0023,Yes (97%),No (76%),Yes (74%),No (81%),Yes (76%),Yes (75%),Yes (72%),Yes (58%),No (42%),279.34369,8.3563
