"Title","SMILES"
"1","*C"
"2","*c1ccccc1"
"5","*C(C)NCC"
"6","*C1CCN(C)CC1"
"7","*NCC(=O)O"
"8","*CCCCC"
"11","*Nc1cnoc1C"
"12","*CC#N"
"13","*OCC1CCCN1C"
"15","*Oc1cccnc1"
"16","*C(C)NC1CC1"
"18","*CCN(C)C"
"21","*CCCC(=O)O"
"22","*CCC"
"24","*Cn1cnnn1"
"27","*CCCCCC"
"31","*c1cccs1"
"32","*NCCN"
"33","*n1cccn1"
"34","*n1nc(C)cc1C"
"36","*C(C)NC(C)C"
"37","*CCN1CCOCC1"
"39","*Nc1ccncc1"
"40","*OC(C)C"
"42","*Nc1nc(=O)[nH]s1"
"43","*Nc1cccnc1"
"46","*Nc1nc(C)cs1"
"48","*NCCCN"
"49","*C(O)c1ccccc1"
"50","*Nc1cccc(C)n1"
"53","*C(C)NCCC"
"54","*Cn1cnnc1"
"55","*CCCCCCC"
"56","*n1cnnc1N"
"57","*C(C)c1cccnc1"
"62","*OCC"
"63","*NC(C)CO"
"66","*NCCC(=O)O"
"67","*C(C)NC1CCC1"
"69","*C1CC1C(=O)O"
"71","*OCCCC"
"75","*NCCCC"
"76","*Cn1ccnc1"
"79","*C(F)F"
"82","*CC(N)=O"
"83","*NCCC"
"84","*N1CC2CNCC2C1"
"87","*c1cn[nH]c1"
"89","*c1ccccn1"
"90","*Nc1ccccn1"
"91","*N"
"93","*C(C)C"
"94","*OCc1ccccc1"
"95","*Nc1ccc(C)cn1"
"98","*CNC(C)C"
"100","*Nc1nncs1"
"102","*CCN1CCCCC1"
"104","*O"
"106","*OC"
"107","*C1CCNCC1"
"108","*C(F)(F)F"
"109","*C(C)NC(C)(C)C"
"110","*c1ccccc1O"
"111","*C(C)N(C)C"
"113","*NCCO"
"114","*C(C)N(CC)CC"
"115","*NC"
"117","*CCO"
"118","*CC(N)C(=O)O"
"120","*CCCC"
"121","*n1[nH]c(C)cc1=O"
"122","*C(=O)O"
"123","*NCCCO"
"124","*OCC1CCCCO1"
"127","*CC(C)C"
"129","*NC(C)C"
"131","*n1ncc(=O)[nH]c1=O"
"132","*c1n[nH]c(C(N)=O)c1O"
"133","*c1n[nH]c2cncnc12"
"135","*n1cnc(C(N)=O)c1N"
"137","*n1nnc(C(=O)O)c1N"
"138","*n1cc(-c2ccc(OC)cc2)nn1"
"139","*n1cnc2c1NS(=O)(=O)NC2=O"
"141","*n1ncc(C(=O)O)c1N"
"143","*C#N"
"146","*CC"
"147","*CC1CC2CCC(C1)N2C"
"148","*CCCN1CCN(C)CC1"
"149","*c1cccc(CC)c1"
"150","*c1cccc(C#N)c1"
"154","*NCC(N)C(=O)O"
"155","*NCC"
"157","*OCCN"
"158","*CO"
