# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_1,-8.56,0.00
lig_2,-9.08,0.00
lig_3,-9.85,0.00
lig_4,-9.39,0.00
lig_5,-10.91,0.00
lig_6,-9.64,0.00
lig_7,-10.37,0.00
lig_8,-9.35,0.00
lig_9,-10.17,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_1,lig_11-0,0.99,0,0.51
lig_1,lig_11,0.99,0,0.51
lig_1,lig_12-0,1.27,0,0.30
lig_1,lig_12,1.27,0,0.30
lig_1,lig_13-0,0.96,0,0.39
lig_1,lig_13-1,-2.07,0,0.72
lig_1,lig_2,-0.84,0,0.28
lig_11-0,lig_11,-0.52,0,0.30
lig_11-0,lig_12-0,0.16,0,0.67
lig_11-0,lig_12,0.16,0,0.67
lig_11-0,lig_13-0,0.88,0,0.31
lig_11-0,lig_13-1,-2.98,0,1.48
lig_11-0,lig_2,-1.33,0,0.50
lig_11,lig_12-0,0.68,0,0.88
lig_11,lig_12,0.68,0,0.88
lig_11,lig_13-0,0.92,0,0.61
lig_11,lig_13-1,-1.85,0,0.86
lig_11,lig_2,-0.87,0,0.15
lig_12-0,lig_12,-1.39,0,0.67
lig_12-0,lig_13-0,-0.06,0,0.17
lig_12-0,lig_13-1,-2.93,0,1.24
lig_12-0,lig_2,-1.58,0,0.42
lig_12,lig_13-0,0.60,0,0.40
lig_12,lig_13-1,-1.48,0,0.82
lig_12,lig_2,-0.75,0,0.99
lig_13-0,lig_13-1,-1.56,0,0.91
lig_13-0,lig_2,-1.46,0,1.00
lig_13-1,lig_2,0.97,0,0.34
