"Title","SMILES"
"22-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"39107-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCC2(C)CC2)CNC3)cc1"
"10776-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2CCC[C@H](C)C2)CNC3)cc1"
"5834-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2(C#N)CCCC2)CNC3)cc1"
"31004-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2CC[C@H](C)C2)CNC3)cc1"
"4950-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCC2CC2)CNC3)cc1"
"20061-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CC[C@H](F)C2)CNC3)cc1"
"4653-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCCC(C)C)CNC3)cc1"
"31007-4","CC[C@H]1CC[C@H]([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)C1"
"13888-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2C[C@@H](C)C[C@H](C)C2)CNC3)cc1"
"10776-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCC[C@H](C)C2)CNC3)cc1"
"16249-3","CCO[C@@H]1C[C@H]1[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"4948-1","CC[C@@H](C)CC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"5886-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2(C#N)CCCCC2)CNC3)cc1"
"39325-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2CC(C)(C)C2)CNC3)cc1"
"4362-1","CC[C@@H](C)C[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"10776-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCC[C@@H](C)C2)CNC3)cc1"
"31007-3","CC[C@@H]1CC[C@H]([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)C1"
"11278-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2CCO[C@H](C)C2)CNC3)cc1"
"2114-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2(O)CCCC2)CNC3)cc1"
"25532-2","CC[C@H]1CCCC[C@H]1[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"40642-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OCCCCC#N)CNC3)cc1"
"42838-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCCC2(F)F)CNC3)cc1"
"1373-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCC(F)(F)F)CNC3)cc1"
"23856-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OCC2(C)CC2)CNC3)cc1"
"40894-1","CC[C@H](CC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1)C(C)C"
"18506-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCC[C@@H]2O)CNC3)cc1"
"2349-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cn2cccn2)CNC3)cc1"
"10358-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](c2csc(C)c2)CNC3)cc1"
"1710-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C24C[C@H]5C[C@@H](C2)C[C@@H](C4)C5)CNC3)cc1"
"11262-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2C[C@@H](C)O[C@H](C)C2)CNC3)cc1"
"10774-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCCC(C)(C)C2)CNC3)cc1"
"9790-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@]24CC[C@H](CC2)C4)CNC3)cc1"
"8924-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=C[C@@H]4CC[C@H](C2)[C@@H]4C)CNC3)cc1"
"4798-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCC2CCCC2)CNC3)cc1"
"5518-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@H]2C[C@H]4CC[C@@H]2C4)CNC3)cc1"
"38017-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2C[C@@H]4CCC[C@@H](C4)C2)CNC3)cc1"
"31076-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@H]2C[C@@H]2c2ccccc2)CNC3)cc1"
"5518-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@H]2C[C@@H]4CC[C@H]2C4)CNC3)cc1"
"8924-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=C[C@@H]4CC[C@H](C2)[C@H]4C)CNC3)cc1"
"11937-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@]24C[C@@H]5C[C@H](C2)[C@@H](C5)C4)CNC3)cc1"
"37891-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CC[C@@H]2CC[C@H](C)O2)CNC3)cc1"
"29608-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N[C@H]2C[C@@H]2c2ccc(F)cc2F)CNC3)cc1"
"20057-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C24CCC(CC2)CC4)CNC3)cc1"
"5518-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@@H]2C[C@@H]4CC[C@H]2C4)CNC3)cc1"
"29061-4","CO[C@H]1CCC[C@H]1[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"10117-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2C[C@@]4(CO)CC[C@@H]2C4)CNC3)cc1"
"11223-1","CCC1([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)CCCC1"
"39115-1","CCCCC1([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)CCCC1"
"5688-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@@H](O)C2CC2)CNC3)cc1"
"29059-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCC[C@@H]2OCC2CCCC2)CNC3)cc1"
"39207-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2cnnn2C)CNC3)cc1"
"16174-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OCC2(CC#N)CC2)CNC3)cc1"
"4214-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OCCC(C)C)CNC3)cc1"
"31936-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@H]2C[C@@H]2c2cccc(F)c2)CNC3)cc1"
"18304-1","COCC1([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)CCCC1"
"10834-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CC2CC(F)(F)C2)CNC3)cc1"
"5877-1","CCCCCCC1([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)CCCCC1"
"19269-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N2CC(F)(F)C(F)(F)C2)CNC3)cc1"
"5737-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=C[C@@H](C)CCC2)CNC3)cc1"
"7202-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OC[C@@H]2CCC(=O)N2C)CNC3)cc1"
"42638-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cn2cc(F)cn2)CNC3)cc1"
"20763-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N2CC[C@H]4[C@@H]2[C@H]4C(F)(F)F)CNC3)cc1"
"3195-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CCCC2CCCC2)CNC3)cc1"
"10106-8","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CC[C@H](O)[C@H]2O)CNC3)cc1"
"31443-1","CCc1cc([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)nn1C"
"10387-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=CC[C@H]4C[C@@H]2C4(C)C)CNC3)cc1"
"14458-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](c2cc(C(F)(F)F)cs2)CNC3)cc1"
"10387-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=CC[C@@H]4C[C@H]2C4(C)C)CNC3)cc1"
"32345-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2ccc[nH]c2=O)CNC3)cc1"
"15710-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cn2ccccc2=O)CNC3)cc1"
"22529-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](O[C@@H]2CCCC[C@H]2C)CNC3)cc1"
"1427-2","CC[C@@H]([C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1)n1ccnc1"
"9953-1","CCC(CC)CO[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"42060-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](c2cc4sccc4[nH]2)CNC3)cc1"
"11063-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CC[C@H]2CCOC2)CNC3)cc1"
"10597-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2[C@H]4CC[C@@H]2CC4)CNC3)cc1"
"5035-1","CCOCCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"11936-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2C[C@@H]4C=C[C@H]2C4)CNC3)cc1"
"27585-1","CO[C@@H]1CCC[C@@H]([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)C1"
"29062-4","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCC[C@@H]2COc2ccccc2)CNC3)cc1"
"8924-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C2=C[C@H]4CC[C@@H](C2)[C@H]4C)CNC3)cc1"
"45112-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@]24CCC[C@H](CCC2)C4)CNC3)cc1"
"22326-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@]24C[C@@H]5C[C@@H](C[C@@](F)(C5)C2)C4)CNC3)cc1"
"33140-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2CCCC(=O)N2)CNC3)cc1"
"22930-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](O[C@H]2CCCCOC2)CNC3)cc1"
"13043-1","CCc1ccc(C[C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)s1"
"28967-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@H]2[C@H]4CC[C@H](C4)C24CC4)CNC3)cc1"
"28964-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@@H]2CCCC2(C)C)CNC3)cc1"
"39967-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N[C@@H]2[C@@H]4COC[C@@H]42)CNC3)cc1"
"8899-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2cc(-c4ccccc4)no2)CNC3)cc1"
"35689-6","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2C[C@@H](O)[C@@H](F)C2)CNC3)cc1"
"23270-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N2CC(F)(F)C[C@@H]2C#N)CNC3)cc1"
"16778-2","CC[C@@H](CO)CO[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"28967-3","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@@H]2[C@@H]4CC[C@@H](C4)C24CC4)CNC3)cc1"
"19643-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Nc2cc(C4CCC4)nn2C)CNC3)cc1"
"41520-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@@H]2CCC[C@H]2O)CNC3)cc1"
"2025-1","CCN(CC)C(=O)C[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"15094-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CNC(=O)Nc2ccc(F)cc2F)CNC3)cc1"
"34754-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2OCCc4cc(C(N)=O)ccc42)CNC3)cc1"
"2680-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2ncc[nH]2)CNC3)cc1"
"39098-2","CCC[C@H](O)C[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1"
"6730-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CN2CCNC2=O)CNC3)cc1"
"32010-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CNc2nncs2)CNC3)cc1"
"26082-2","CC1=C[C@@H]([C@H]2CNCc3c2[nH]c(=O)c(C#N)c3-c2ccc(C)cc2)CCC1"
"24463-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](CNC(=O)[C@@H]2CC2(F)F)CNC3)cc1"
"28052-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H]([C@H]2CC[C@@H](C#N)C2)CNC3)cc1"
"16185-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OC[C@H](C)F)CNC3)cc1"
"3347-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](N2CCC[C@H]2C#N)CNC3)cc1"
"826-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2cccc(F)c2)CNC3)cc1"
"11627-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](OC[C@H]2CC=CCC2)CNC3)cc1"
"2325-2","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](C[C@@H]2CCCO2)CNC3)cc1"
"11057-1","Cc1ccc(-c2c3c([nH]c(=O)c2C#N)[C@@H](Cc2ccsn2)CNC3)cc1"
