,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,BAR_conv,BAR_conv_abs,BAR_conv_bootstrip,source
684,edge_lig_29061-4_lig_4-99_run1_protein,-12.2,0.33,0.37,-12.29,0.49,0.47,80,80,0.08,0.08,0.34,default
685,edge_lig_29061-4_lig_4-99_run1_water,-14.02,0.2,0.15,-14.12,0.12,0.21,80,80,0.38,0.38,0.08,default
686,edge_lig_29061-4_lig_4-99_run2_protein,-6.35,0.54,0.44,-5.9,1.24,1.15,80,80,0.83,0.83,0.08,default
687,edge_lig_29061-4_lig_4-99_run2_water,-14.75,0.21,0.2,-14.76,0.18,0.23,80,80,0.22,0.22,0.11,default
688,edge_lig_29061-4_lig_4-99_run3_protein,-10.92,0.35,0.4,-11.08,0.64,0.38,80,80,-0.38,0.38,0.16,default
689,edge_lig_29061-4_lig_4-99_run3_water,-14.11,0.17,0.18,-14.1,0.21,0.22,80,80,0.07,0.07,0.14,default
1122,edge_lig_5518-3_lig_4-99_run1_protein,-3.76,0.65,0.61,-2.8,1.54,0.86,80,80,0.27,0.27,0.24,default
1123,edge_lig_5518-3_lig_4-99_run1_water,-7.87,0.16,0.16,-7.84,0.12,0.19,80,80,0.33,0.33,0.11,default
1124,edge_lig_5518-3_lig_4-99_run2_protein,-1.5,0.42,0.52,-2.95,0.6,0.53,80,80,0.09,0.09,0.25,default
1125,edge_lig_5518-3_lig_4-99_run2_water,-6.77,0.19,0.17,-6.77,0.17,0.26,80,80,0.38,0.38,0.11,default
1126,edge_lig_5518-3_lig_4-99_run3_protein,1.51,0.4,0.43,-0.3,0.49,1.55,80,80,0.91,0.91,0.03,default
1127,edge_lig_5518-3_lig_4-99_run3_water,-6.8,0.2,0.21,-6.95,0.24,0.24,80,80,0.04,0.04,0.14,default
522,edge_lig_22930-2_lig_4-99_run1_protein,-39.33,0.67,0.6,-40.96,0.28,38.23,80,80,1.0,1.0,0.00,default
523,edge_lig_22930-2_lig_4-99_run1_water,-41.57,0.23,0.24,-41.7,0.28,0.31,80,80,0.08,0.08,0.18,default
524,edge_lig_22930-2_lig_4-99_run2_protein,-38.53,0.62,0.57,-39.64,0.85,0.81,80,80,0.22,0.22,0.26,default
525,edge_lig_22930-2_lig_4-99_run2_water,-41.18,0.21,0.2,-41.01,0.2,0.28,80,80,0.4,0.4,0.16,default
526,edge_lig_22930-2_lig_4-99_run3_protein,-35.28,0.56,0.49,-37.78,0.61,14.55,80,80,1.0,1.0,0.00,default
527,edge_lig_22930-2_lig_4-99_run3_water,-41.19,0.26,0.27,-41.57,0.25,0.36,80,80,0.37,0.37,0.22,default
1242,edge_lig_7202-2_lig_4-99_run1_protein,-18.27,0.59,0.53,-19.58,0.53,12.08,80,80,1.0,1.0,0.00,default
1243,edge_lig_7202-2_lig_4-99_run1_water,-22.13,0.2,0.19,-22.14,0.22,0.25,80,80,0.16,0.16,0.16,default
1244,edge_lig_7202-2_lig_4-99_run2_protein,-15.39,0.41,0.49,-17.94,0.57,1.24,80,79,0.83,0.83,0.06,default
1245,edge_lig_7202-2_lig_4-99_run2_water,-21.98,0.19,0.2,-21.88,0.19,0.23,80,80,0.14,0.14,0.11,default
1246,edge_lig_7202-2_lig_4-99_run3_protein,-16.22,0.64,0.6,-17.06,0.91,8.26,80,80,1.0,1.0,0.00,default
1247,edge_lig_7202-2_lig_4-99_run3_water,-21.96,0.18,0.21,-21.98,0.23,0.23,80,80,-0.09,0.09,0.12,default
96,edge_lig_10387-1_lig_4-99_run1_protein,-8.26,0.69,0.68,-9.68,0.64,23.43,80,80,1.0,1.0,0.00,default
97,edge_lig_10387-1_lig_4-99_run1_water,-12.26,0.17,0.13,-12.15,0.16,0.19,80,80,0.14,0.14,0.10,default
98,edge_lig_10387-1_lig_4-99_run2_protein,-6.23,0.41,0.49,-6.61,0.94,0.94,80,80,0.73,0.73,0.10,default
99,edge_lig_10387-1_lig_4-99_run2_water,-12.11,0.19,0.18,-12.02,0.2,0.24,80,80,0.15,0.15,0.16,default
100,edge_lig_10387-1_lig_4-99_run3_protein,-6.76,0.53,0.39,-8.91,0.26,11.9,80,80,1.0,1.0,0.00,default
101,edge_lig_10387-1_lig_4-99_run3_water,-12.23,0.19,0.17,-12.11,0.17,0.21,80,80,0.14,0.14,0.17,default
870,edge_lig_4-99_lig_31076-3_run1_protein,10.55,0.42,0.36,10.88,0.3,0.61,80,80,0.7,0.7,0.07,default
871,edge_lig_4-99_lig_31076-3_run1_water,15.21,0.18,0.15,15.19,0.16,0.2,80,80,0.17,0.17,0.12,default
872,edge_lig_4-99_lig_31076-3_run2_protein,12.0,0.6,0.42,13.28,0.58,3.95,80,80,0.99,0.99,0.00,default
873,edge_lig_4-99_lig_31076-3_run2_water,15.1,0.18,0.22,15.38,0.25,0.27,80,80,0.12,0.12,0.16,default
874,edge_lig_4-99_lig_31076-3_run3_protein,10.89,0.4,0.47,11.34,0.42,0.47,80,80,0.11,0.11,0.24,default
875,edge_lig_4-99_lig_31076-3_run3_water,15.61,0.18,0.16,15.66,0.15,0.24,80,80,0.41,0.41,0.11,default
894,edge_lig_4-99_lig_4653-1_run1_protein,1.99,0.46,0.62,3.66,0.94,0.86,80,80,0.51,0.51,0.17,default
895,edge_lig_4-99_lig_4653-1_run1_water,8.03,0.11,0.14,7.93,0.13,0.16,80,80,0.13,0.13,0.10,default
896,edge_lig_4-99_lig_4653-1_run2_protein,1.33,0.53,0.72,3.78,1.24,0.73,80,80,-0.35,0.35,0.46,default
897,edge_lig_4-99_lig_4653-1_run2_water,7.87,0.16,0.16,7.78,0.15,0.18,80,80,0.08,0.08,0.09,default
898,edge_lig_4-99_lig_4653-1_run3_protein,4.07,0.33,0.36,4.53,0.49,0.53,80,80,0.04,0.04,0.31,default
899,edge_lig_4-99_lig_4653-1_run3_water,8.09,0.17,0.15,8.09,0.13,0.18,80,80,0.07,0.07,0.09,default
1098,edge_lig_5518-1_lig_4-99_run1_protein,-10.09,0.5,0.57,-10.18,0.85,1.67,80,80,0.91,0.91,0.03,default
1099,edge_lig_5518-1_lig_4-99_run1_water,-14.26,0.18,0.16,-14.29,0.16,0.22,80,80,0.29,0.29,0.09,default
1100,edge_lig_5518-1_lig_4-99_run2_protein,-10.61,0.44,0.43,-11.09,0.7,0.72,80,80,-0.36,0.36,0.48,default
1101,edge_lig_5518-1_lig_4-99_run2_water,-14.33,0.19,0.21,-14.57,0.22,0.26,80,80,0.2,0.2,0.15,default
1102,edge_lig_5518-1_lig_4-99_run3_protein,-8.18,0.41,0.36,-9.1,0.32,1.41,80,80,0.94,0.94,0.02,default
1103,edge_lig_5518-1_lig_4-99_run3_water,-14.72,0.18,0.18,-14.58,0.19,0.22,80,80,0.21,0.21,0.14,default
924,edge_lig_40642-1_lig_4-99_run1_protein,-21.63,0.38,0.32,-21.68,0.33,0.54,80,80,0.58,0.58,0.15,default
925,edge_lig_40642-1_lig_4-99_run1_water,-23.46,0.15,0.17,-23.32,0.22,0.2,80,80,-0.05,0.05,0.12,default
926,edge_lig_40642-1_lig_4-99_run2_protein,-21.61,0.36,0.41,-21.54,0.55,0.44,80,78,-0.02,0.02,0.32,default
927,edge_lig_40642-1_lig_4-99_run2_water,-23.34,0.16,0.14,-23.34,0.18,0.19,80,77,0.04,0.04,0.11,default
928,edge_lig_40642-1_lig_4-99_run3_protein,-18.81,0.51,0.43,-20.23,0.51,1.34,80,80,0.87,0.87,0.04,default
929,edge_lig_40642-1_lig_4-99_run3_water,-23.74,0.17,0.17,-23.62,0.2,0.18,80,80,-0.21,0.21,0.09,default
756,edge_lig_31936-3_lig_4-99_run1_protein,-4.77,0.41,0.39,-5.58,0.51,0.84,80,80,0.7,0.7,0.12,default
757,edge_lig_31936-3_lig_4-99_run1_water,-9.74,0.2,0.22,-9.98,0.26,0.31,80,80,0.2,0.2,0.17,default
758,edge_lig_31936-3_lig_4-99_run2_protein,-5.27,0.51,0.39,-6.03,0.31,3.26,80,80,0.99,0.99,0.00,default
759,edge_lig_31936-3_lig_4-99_run2_water,-10.59,0.15,0.21,-10.63,0.21,0.24,80,80,0.07,0.07,0.14,default
760,edge_lig_31936-3_lig_4-99_run3_protein,-4.81,0.45,0.4,-4.93,0.45,0.84,80,80,0.71,0.71,0.14,default
761,edge_lig_31936-3_lig_4-99_run3_water,-9.69,0.2,0.2,-9.94,0.21,0.27,80,80,0.29,0.29,0.15,default
1002,edge_lig_42838-2_lig_4-99_run1_protein,-3.67,0.3,0.25,-3.46,0.25,0.33,80,80,0.27,0.27,0.14,default
1003,edge_lig_42838-2_lig_4-99_run1_water,-6.58,0.13,0.14,-6.52,0.19,0.14,80,80,-0.15,0.15,0.08,default
1004,edge_lig_42838-2_lig_4-99_run2_protein,-3.36,0.33,0.27,-2.87,0.38,0.35,80,80,-0.03,0.03,0.20,default
1005,edge_lig_42838-2_lig_4-99_run2_water,-7.22,0.13,0.15,-7.18,0.18,0.18,80,80,0.11,0.11,0.10,default
1006,edge_lig_42838-2_lig_4-99_run3_protein,-3.1,0.25,0.27,-2.5,0.24,0.21,80,80,-0.19,0.19,0.10,default
1007,edge_lig_42838-2_lig_4-99_run3_water,-6.45,0.12,0.11,-6.45,0.12,0.14,80,80,0.03,0.03,0.09,default
324,edge_lig_1710-1_lig_4-99_run1_protein,-7.88,0.69,0.71,-7.75,1.3,20.79,80,80,1.0,1.0,0.00,default
325,edge_lig_1710-1_lig_4-99_run1_water,-14.75,0.23,0.19,-14.91,0.21,0.23,80,80,0.15,0.15,0.14,default
326,edge_lig_1710-1_lig_4-99_run2_protein,-9.22,0.47,0.36,-8.97,0.49,0.52,80,80,0.12,0.12,0.39,default
327,edge_lig_1710-1_lig_4-99_run2_water,-15.17,0.17,0.15,-15.22,0.15,0.24,80,79,0.48,0.48,0.10,default
328,edge_lig_1710-1_lig_4-99_run3_protein,-7.14,0.67,0.6,-8.59,0.68,1.84,80,80,0.92,0.92,0.03,default
329,edge_lig_1710-1_lig_4-99_run3_water,-14.82,0.17,0.17,-14.82,0.22,0.21,80,80,0.06,0.06,0.11,default
732,edge_lig_31443-1_lig_4-99_run1_protein,32.08,0.31,0.29,32.24,0.29,0.41,80,80,0.26,0.26,0.20,default
733,edge_lig_31443-1_lig_4-99_run1_water,28.85,0.17,0.15,28.87,0.14,0.19,80,80,0.24,0.24,0.10,default
734,edge_lig_31443-1_lig_4-99_run2_protein,29.92,0.36,0.35,29.65,0.41,0.53,80,80,0.33,0.33,0.21,default
735,edge_lig_31443-1_lig_4-99_run2_water,29.17,0.14,0.11,29.17,0.13,0.16,80,80,0.13,0.13,0.08,default
736,edge_lig_31443-1_lig_4-99_run3_protein,35.73,0.43,0.38,33.77,0.23,3.31,80,80,0.99,0.99,0.00,default
737,edge_lig_31443-1_lig_4-99_run3_water,28.83,0.17,0.16,28.85,0.17,0.2,80,80,0.03,0.03,0.12,default
846,edge_lig_4-99_lig_13043-1_run1_protein,6.34,0.38,0.39,7.29,0.46,0.7,80,80,0.5,0.5,0.15,default
847,edge_lig_4-99_lig_13043-1_run1_water,10.83,0.15,0.15,10.91,0.13,0.18,80,80,0.22,0.22,0.10,default
848,edge_lig_4-99_lig_13043-1_run2_protein,9.19,0.44,0.36,10.25,0.36,1.09,80,80,0.85,0.85,0.06,default
849,edge_lig_4-99_lig_13043-1_run2_water,10.87,0.18,0.16,10.86,0.2,0.19,80,80,0.0,0.0,0.09,default
850,edge_lig_4-99_lig_13043-1_run3_protein,9.0,0.32,0.32,9.43,0.38,0.44,80,80,0.06,0.06,0.32,default
851,edge_lig_4-99_lig_13043-1_run3_water,10.55,0.15,0.15,10.6,0.15,0.22,80,80,0.34,0.34,0.10,default
228,edge_lig_11937-1_lig_4-99_run1_protein,-7.88,0.52,0.7,-9.04,0.95,0.99,80,80,0.71,0.71,0.10,default
229,edge_lig_11937-1_lig_4-99_run1_water,-12.85,0.2,0.16,-12.71,0.19,0.21,80,79,0.01,0.01,0.11,default
230,edge_lig_11937-1_lig_4-99_run2_protein,-6.08,0.52,0.52,-6.92,0.92,0.8,80,80,0.42,0.42,0.17,default
231,edge_lig_11937-1_lig_4-99_run2_water,-13.15,0.21,0.22,-13.24,0.23,0.27,80,80,0.1,0.1,0.17,default
232,edge_lig_11937-1_lig_4-99_run3_protein,-9.93,0.44,0.47,-11.11,0.68,0.49,80,80,-0.23,0.23,0.24,default
233,edge_lig_11937-1_lig_4-99_run3_water,-13.53,0.18,0.16,-13.46,0.17,0.18,80,80,0.05,0.05,0.11,default
1230,edge_lig_5834-1_lig_4-99_run1_protein,-13.13,0.28,0.33,-13.01,0.28,0.37,80,80,0.35,0.35,0.09,default
1231,edge_lig_5834-1_lig_4-99_run1_water,-17.24,0.12,0.13,-17.23,0.14,0.15,80,80,0.06,0.06,0.08,default
1232,edge_lig_5834-1_lig_4-99_run2_protein,-12.43,0.34,0.36,-11.69,0.54,0.33,80,80,-0.44,0.44,0.16,default
1233,edge_lig_5834-1_lig_4-99_run2_water,-17.44,0.14,0.14,-17.45,0.14,0.17,80,80,0.11,0.11,0.10,default
1234,edge_lig_5834-1_lig_4-99_run3_protein,-11.61,0.36,0.39,-11.62,0.3,0.33,80,80,-0.04,0.04,0.16,default
1235,edge_lig_5834-1_lig_4-99_run3_water,-17.41,0.11,0.12,-17.36,0.13,0.15,80,80,0.22,0.22,0.10,default
864,edge_lig_4-99_lig_22326-1_run1_protein,13.22,0.73,0.7,13.97,0.74,6.01,80,80,0.99,0.99,0.00,default
865,edge_lig_4-99_lig_22326-1_run1_water,16.28,0.18,0.2,16.36,0.22,0.26,80,80,0.14,0.14,0.16,default
866,edge_lig_4-99_lig_22326-1_run2_protein,9.52,0.58,0.52,10.89,0.43,1.75,80,80,0.94,0.94,0.02,default
867,edge_lig_4-99_lig_22326-1_run2_water,16.11,0.2,0.2,16.17,0.2,0.25,78,80,0.18,0.18,0.13,default
868,edge_lig_4-99_lig_22326-1_run3_protein,11.43,0.56,0.5,12.89,0.38,2.71,80,80,0.98,0.98,0.00,default
869,edge_lig_4-99_lig_22326-1_run3_water,15.89,0.18,0.2,15.91,0.21,0.24,80,80,0.05,0.05,0.16,default
858,edge_lig_4-99_lig_19643-1_run1_protein,9.46,0.35,0.36,10.2,0.42,0.51,80,80,0.25,0.25,0.18,default
859,edge_lig_4-99_lig_19643-1_run1_water,11.67,0.26,0.23,11.92,0.23,0.31,80,80,0.32,0.32,0.22,default
860,edge_lig_4-99_lig_19643-1_run2_protein,11.23,0.49,0.54,11.05,0.69,0.43,80,80,-0.26,0.26,0.14,default
861,edge_lig_4-99_lig_19643-1_run2_water,11.82,0.26,0.25,11.95,0.27,0.3,80,80,0.22,0.22,0.08,default
862,edge_lig_4-99_lig_19643-1_run3_protein,10.21,0.46,0.24,10.4,0.28,0.48,80,80,0.62,0.62,0.13,default
863,edge_lig_4-99_lig_19643-1_run3_water,11.55,0.25,0.23,11.7,0.27,0.35,80,80,0.15,0.15,0.23,default
972,edge_lig_4214-1_lig_4-99_run1_protein,-32.09,0.44,0.43,-31.62,0.73,0.64,80,80,-0.19,0.19,0.42,default
973,edge_lig_4214-1_lig_4-99_run1_water,-32.62,0.19,0.17,-32.57,0.2,0.22,80,80,-0.01,0.01,0.10,default
974,edge_lig_4214-1_lig_4-99_run2_protein,-30.01,0.36,0.29,-30.46,0.33,0.81,80,80,0.81,0.81,0.08,default
975,edge_lig_4214-1_lig_4-99_run2_water,-31.94,0.17,0.14,-31.92,0.16,0.21,80,80,0.17,0.17,0.12,default
976,edge_lig_4214-1_lig_4-99_run3_protein,-26.9,0.38,0.36,-29.19,0.39,3.19,80,80,0.98,0.98,0.00,default
977,edge_lig_4214-1_lig_4-99_run3_water,-32.5,0.2,0.16,-32.51,0.17,0.24,80,80,0.31,0.31,0.13,default
1092,edge_lig_5035-1_lig_4-99_run1_protein,-11.18,0.56,0.34,-11.88,0.38,2.03,80,80,0.96,0.96,0.01,default
1093,edge_lig_5035-1_lig_4-99_run1_water,-13.58,0.19,0.18,-13.64,0.2,0.2,80,80,0.01,0.01,0.11,default
