ligand,DG(MLE),uncertainty (kcal/mol),ligand_num
lig_29061-4,-3.22,0.37,29061-4
lig_4-99,0.0,0.21,4-99
lig_10597-1,-2.16,0.36,10597-1
lig_29062-4,-3.68,0.49,29062-4
lig_31076-3,-4.77,0.67,31076-3
lig_4653-1,-4.03,0.24,4653-1
lig_13043-1,-1.91,1.47,13043-1
lig_22326-1,-2.78,0.71,22326-1
lig_19643-1,-1.33,0.45,19643-1
lig_15710-1,-2.75,1.19,15710-1
lig_35689-6,-1.34,0.46,35689-6
lig_32345-1,-2.77,1.19,32345-1
lig_39967-1,-1.58,1.2,39967-1
lig_5518-3,-3.87,0.73,5518-3
lig_28967-2,-2.3,0.44,28967-2
lig_28967-3,-1.8,0.87,28967-3
lig_4950-1,-3.59,0.5,4950-1
lig_22930-2,-1.94,1.32,22930-2
lig_22-1,-3.09,0.21,22-1
lig_7202-2,-3.42,0.57,7202-2
lig_8924-1,-4.25,0.54,8924-1
lig_10387-1,-3.24,1.14,10387-1
lig_31007-3,-4.21,0.76,31007-3
lig_16778-2,-1.32,0.52,16778-2
lig_10834-1,-2.85,0.45,10834-1
lig_5518-1,-3.8,0.87,5518-1
lig_42638-1,-2.65,0.6,42638-1
lig_40642-1,-3.92,0.41,40642-1
lig_3195-1,-3.0,0.61,3195-1
lig_9953-1,-2.23,0.26,9953-1
lig_16249-3,-3.76,1.04,16249-3
lig_10387-2,-3.12,0.85,10387-2
lig_4362-1,-3.08,0.4,4362-1
lig_31936-3,-4.6,0.36,31936-3
lig_29608-2,-5.58,0.36,29608-2
lig_42838-2,-3.91,0.4,42838-2
lig_10106-8,-2.6,0.36,10106-8
lig_19269-1,-3.54,0.45,19269-1
lig_1710-1,-5.13,0.3,1710-1
lig_10776-4,-5.23,0.26,10776-4
lig_11278-2,-4.18,0.41,11278-2
lig_31443-1,-2.91,0.27,31443-1
lig_11937-1,-4.23,0.5,11937-1
lig_5834-1,-5.1,0.39,5834-1
lig_4214-1,-2.52,0.83,4214-1
lig_39325-1,-3.72,0.84,39325-1
lig_5035-1,-1.85,0.29,5035-1
lig_2349-1,-3.24,0.55,2349-1
lig_18506-4,-3.27,0.41,18506-4
lig_1373-1,-3.32,0.46,1373-1
lig_31004-4,-4.32,0.45,31004-4
lig_9790-1,-3.56,0.31,9790-1
lig_20061-3,-4.22,0.35,20061-3
lig_39115-1,-3.98,0.63,39115-1
lig_2114-1,-3.56,0.28,2114-1
lig_28964-2,-1.58,0.35,28964-2
lig_37891-3,-3.75,0.46,37891-3
lig_4798-1,-3.4,0.73,4798-1
lig_23856-1,-3.29,0.53,23856-1
lig_11063-2,-2.17,0.57,11063-2
lig_42060-1,-2.53,0.88,42060-1
lig_27585-1,-2.39,0.26,27585-1
lig_13888-4,-5.21,0.7,13888-4
lig_10774-1,-4.08,0.45,10774-1
lig_40894-1,-4.37,0.56,40894-1
lig_4948-1,-3.75,0.36,4948-1
lig_5877-1,-4.73,0.47,5877-1
lig_10776-1,-4.23,0.52,10776-1
lig_5737-2,-2.7,0.25,5737-2
lig_10776-3,-4.51,0.25,10776-3
lig_5886-1,-4.97,1.4,5886-1
lig_8924-3,-4.5600000000000005,0.47,8924-3
lig_11262-1,-4.08,0.39,11262-1
lig_25532-2,-4.67,0.51,25532-2
lig_29059-4,-5.25,0.39,29059-4
lig_20057-1,-3.72,0.67,20057-1
lig_14458-1,-3.16,0.55,14458-1
lig_20763-3,-3.76,0.53,20763-3
lig_5518-4,-3.69,0.32,5518-4
lig_10117-1,-4.12,0.72,10117-1
lig_45112-1,-2.38,0.6,45112-1
lig_33140-1,-1.71,0.56,33140-1
lig_2025-1,-0.3500000000000001,0.85,2025-1
lig_41520-2,-0.71,0.61,41520-2
lig_5688-1,-2.64,0.32,5688-1
lig_39107-1,-5.87,0.97,39107-1
lig_16174-1,-3.36,0.41,16174-1
lig_22529-1,-2.74,0.89,22529-1
lig_31007-4,-4.640000000000001,0.51,31007-4
lig_18304-1,-3.32,0.22,18304-1
lig_11223-1,-3.14,0.32,11223-1
lig_23270-1,-1.71,0.52,23270-1
lig_10358-1,-3.15,0.33,10358-1
lig_11936-2,-2.1,1.4,11936-2
lig_38017-1,-4.33,0.71,38017-1
lig_8899-1,-2.48,2.05,8899-1
lig_39207-1,-2.99,0.93,39207-1
lig_1427-2,-2.68,0.63,1427-2
lig_8924-2,-2.45,0.64,8924-2
