ligand_i	ligand_j	DDG(i->j) (kcal/mol)	uncertainty (kcal/mol)
lig_29061-4	lig_4-99	4.569999999999999	3.762592191561557
lig_5518-3	lig_4-99	5.17	1.4194717327231288
lig_22930-2	lig_4-99	1.966666666666666	1.610165622951046
lig_7202-2	lig_4-99	3.806666666666667	1.1856362567555585
lig_10387-1	lig_4-99	3.693333333333333	1.5308276628456032
lig_4-99	lig_31076-3	-3.5766666666666667	1.2788406207707552
lig_4-99	lig_4653-1	-3.943333333333333	0.3583759664560855
lig_5518-1	lig_4-99	4.3566666666666665	1.0225621415509836
lig_40642-1	lig_4-99	2.2766666666666677	0.9674881566889246
lig_31936-3	lig_4-99	4.67	0.3109662361093239
lig_42838-2	lig_4-99	3.773333333333333	0.6434542200757825
lig_1710-1	lig_4-99	6.546666666666667	0.5312563725107994
lig_31443-1	lig_4-99	2.9233333333333333	2.253449208066014
lig_4-99	lig_13043-1	-1.7999999999999998	1.6008435276440982
lig_11937-1	lig_4-99	4.113333333333334	2.0217896362711256
lig_5834-1	lig_4-99	5.24	0.8834025130143107
lig_4-99	lig_22326-1	-3.563333333333333	1.5196819842760974
lig_4-99	lig_19643-1	-1.306666666666666	0.4100406483915151
lig_4214-1	lig_4-99	1.909999999999999	1.2474373731775057
lig_5035-1	lig_4-99	1.3633333333333333	0.3538832199092424
lig_4-99	lig_15710-1	-2.6133333333333346	1.4200117370406955
lig_4-99	lig_35689-6	-1.4766666666666666	2.338211567273869
lig_10387-2	lig_4-99	4.11	2.1530675790601657
lig_4362-1	lig_4-99	2.696666666666667	2.025100820535445
lig_4-99	lig_32345-1	-3.1100000000000008	2.2281606764324686
lig_4-99	lig_39967-1	-1.5733333333333377	2.2050925906485945
lig_29061-4	lig_10597-1	1.0600000000000005	0.0781024967590666
lig_29061-4	lig_29062-4	-0.7633333333333336	0.6522525073415457
lig_19269-1	lig_29061-4	-0.7333333333333343	1.2781757834246903
lig_20061-3	lig_29061-4	0.8933333333333333	1.7224788339289785
lig_37891-3	lig_4798-1	0.7166666666666665	1.036934584886305
lig_11063-2	lig_4798-1	-1.0766666666666669	1.106450782155869
lig_2349-1	lig_4798-1	-1.0533333333333337	3.053822740981103
lig_42060-1	lig_4798-1	-1.463333333333333	1.282432584322986
lig_27585-1	lig_10776-4	-2.8200000000000003	0.1300000000000003
lig_10774-1	lig_27585-1	2.146666666666667	1.6106623896190455
lig_5877-1	lig_27585-1	1.0433333333333337	0.8405553719614995
lig_27585-1	lig_13888-4	-3.99	1.905492062434268
lig_5737-2	lig_27585-1	0.4633333333333329	0.2444040370643107
lig_27585-1	lig_11278-2	-0.4100000000000004	1.4041723540933286
lig_10774-1	lig_40894-1	0.3233333333333332	0.8672562097404279
lig_5737-2	lig_40894-1	-2.1866666666666665	0.6714412359494561
