# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_1,-8.56,0.00
lig_2,-9.08,0.00
lig_3,-9.85,0.00
lig_4,-9.39,0.00
lig_5,-10.91,0.00
lig_6,-9.64,0.00
lig_7,-10.37,0.00
lig_8,-9.35,0.00
lig_9,-10.17,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_29061-4,lig_4-99,4.57,0,3.76
lig_5518-3,lig_4-99,5.17,0,1.42
lig_22930-2,lig_4-99,1.97,0,1.61
lig_7202-2,lig_4-99,3.81,0,1.19
lig_10387-1,lig_4-99,3.69,0,1.53
lig_4-99,lig_31076-3,-3.58,0,1.28
lig_4-99,lig_4653-1,-3.94,0,0.36
lig_5518-1,lig_4-99,4.36,0,1.02
lig_40642-1,lig_4-99,2.28,0,0.97
lig_31936-3,lig_4-99,4.67,0,0.31
lig_42838-2,lig_4-99,3.77,0,0.64
lig_1710-1,lig_4-99,6.55,0,0.53
lig_31443-1,lig_4-99,2.92,0,2.25
lig_4-99,lig_13043-1,-1.80,0,1.60
lig_11937-1,lig_4-99,4.11,0,2.02
lig_5834-1,lig_4-99,5.24,0,0.88
lig_4-99,lig_22326-1,-3.56,0,1.52
lig_4-99,lig_19643-1,-1.31,0,0.41
lig_4214-1,lig_4-99,1.91,0,1.25
lig_5035-1,lig_4-99,1.36,0,0.35
lig_4-99,lig_15710-1,-2.61,0,1.42
lig_4-99,lig_35689-6,-1.48,0,2.34
lig_10387-2,lig_4-99,4.11,0,2.15
lig_4362-1,lig_4-99,2.70,0,2.03
lig_4-99,lig_32345-1,-3.11,0,2.23
lig_4-99,lig_39967-1,-1.57,0,2.21
lig_29061-4,lig_10597-1,1.06,0,0.08
lig_29061-4,lig_29062-4,-0.76,0,0.65
lig_19269-1,lig_29061-4,-0.73,0,1.28
lig_20061-3,lig_29061-4,0.89,0,1.72
lig_37891-3,lig_4798-1,0.72,0,1.04
