ligand,DG(MLE),uncertainty (kcal/mol),ligand_num
lig_4-99,0.0,0.0,4-99
lig_1-1,-2.02,0.01,1-1
lig_10046-1,-4.5,0.01,10046-1
lig_10084-1,-3.93,0.01,10084-1
lig_10092-6,-0.3700000000000001,0.01,10092-6
lig_10092-8,0.6699999999999999,0.01,10092-8
lig_10106-2,-2.35,0.01,10106-2
lig_10106-3,0.4199999999999999,0.01,10106-3
lig_10106-8,-5.54,0.01,10106-8
lig_10117-1,-5.75,0.01,10117-1
lig_10134-1,-1.21,0.01,10134-1
lig_10134-2,-0.79,0.01,10134-2
lig_10139-1,-2.64,0.01,10139-1
lig_10186-2,-1.23,0.01,10186-2
lig_10202-1,-3.4000000000000004,0.01,10202-1
lig_10202-2,-3.85,0.01,10202-2
lig_10204-1,-3.28,0.01,10204-1
lig_10205-1,-2.18,0.01,10205-1
lig_10205-2,-1.2600000000000002,0.01,10205-2
lig_10213-1,-2.43,0.01,10213-1
lig_10253-1,-2.21,0.01,10253-1
lig_10275-12,-0.09,0.01,10275-12
lig_10275-13,3.3600000000000003,0.01,10275-13
lig_10275-16,-0.3900000000000001,0.01,10275-16
lig_10275-2,-0.53,0.01,10275-2
lig_10275-4,2.52,0.01,10275-4
lig_10275-5,0.9899999999999998,0.01,10275-5
lig_10275-8,-2.38,0.01,10275-8
lig_10275-9,-0.7200000000000002,0.01,10275-9
lig_10316-1,0.4499999999999997,0.01,10316-1
lig_10358-1,-5.51,0.01,10358-1
lig_10387-1,-6.2700000000000005,0.01,10387-1
lig_10387-2,-4.94,0.01,10387-2
lig_10388-1,-1.82,0.01,10388-1
lig_1040-1,-4.58,0.01,1040-1
lig_10499-1,-2.31,0.01,10499-1
lig_10511-1,-0.53,0.01,10511-1
lig_10543-2,-0.76,0.01,10543-2
lig_10591-1,-3.92,0.01,10591-1
lig_10595-1,0.8300000000000001,0.01,10595-1
lig_10597-1,-5.7,0.01,10597-1
lig_10599-1,-4.54,0.01,10599-1
lig_10599-2,-3.16,0.01,10599-2
lig_106-1,0.4199999999999999,0.01,106-1
lig_10675-1,-2.66,0.01,10675-1
lig_10677-1,-0.8700000000000001,0.01,10677-1
lig_10703-1,0.8199999999999998,0.01,10703-1
lig_10715-1,-0.94,0.01,10715-1
lig_10720-1,-0.6400000000000001,0.01,10720-1
lig_10720-2,3.47,0.01,10720-2
lig_10748-1,-2.3000000000000003,0.01,10748-1
lig_10756-1,-4.34,0.01,10756-1
lig_10756-2,-4.390000000000001,0.01,10756-2
lig_10758-1,-4.42,0.01,10758-1
