ligand_i	ligand_j	DDG(i->j) (kcal/mol)	uncertainty (kcal/mol)
lig_4-99	lig_1-1	-2.02	0.01
lig_4-99	lig_10046-1	-4.5	0.01
lig_4-99	lig_10084-1	-3.9300000000000033	0.01
lig_4-99	lig_10092-6	-0.370000000000001	0.01
lig_4-99	lig_10092-8	0.6699999999999999	0.01
lig_4-99	lig_10106-2	-2.3500000000000005	0.01
lig_4-99	lig_10106-3	0.4199999999999999	0.01
lig_4-99	lig_10106-8	-5.539999999999999	0.01
lig_4-99	lig_10117-1	-5.75	0.01
lig_4-99	lig_10134-1	-1.2100000000000009	0.01
lig_4-99	lig_10134-2	-0.7899999999999991	0.01
lig_4-99	lig_10139-1	-2.640000000000001	0.01
lig_4-99	lig_10186-2	-1.23	0.01
lig_4-99	lig_10202-1	-3.4	0.01
lig_4-99	lig_10202-2	-3.85	0.01
lig_4-99	lig_10204-1	-3.28	0.01
lig_4-99	lig_10205-1	-2.18	0.01
lig_4-99	lig_10205-2	-1.2599999999999998	0.01
lig_4-99	lig_10213-1	-2.43	0.01
lig_4-99	lig_10253-1	-2.210000000000001	0.01
lig_4-99	lig_10275-12	-0.0899999999999998	0.01
lig_4-99	lig_10275-13	3.3600000000000003	0.01
lig_4-99	lig_10275-16	-0.3900000000000005	0.01
lig_4-99	lig_10275-2	-0.5300000000000011	0.01
lig_4-99	lig_10275-4	2.5200000000000014	0.01
lig_4-99	lig_10275-5	0.9900000000000002	0.01
lig_4-99	lig_10275-8	-2.38	0.01
lig_4-99	lig_10275-9	-0.7200000000000006	0.01
lig_4-99	lig_10316-1	0.4499999999999993	0.01
lig_4-99	lig_10358-1	-5.51	0.01
lig_4-99	lig_10387-1	-6.27	0.01
lig_4-99	lig_10387-2	-4.940000000000001	0.01
lig_4-99	lig_10388-1	-1.8200000000000005	0.01
lig_4-99	lig_1040-1	-4.58	0.01
lig_4-99	lig_10499-1	-2.3099999999999987	0.01
lig_4-99	lig_10511-1	-0.5300000000000011	0.01
lig_4-99	lig_10543-2	-0.759999999999998	0.01
lig_4-99	lig_10591-1	-3.9200000000000017	0.01
lig_4-99	lig_10595-1	0.8300000000000001	0.01
lig_4-99	lig_10597-1	-5.699999999999999	0.01
lig_4-99	lig_10599-1	-4.54	0.01
lig_4-99	lig_10599-2	-3.1599999999999997	0.01
lig_4-99	lig_106-1	0.4199999999999946	0.01
lig_4-99	lig_10675-1	-2.66	0.01
lig_4-99	lig_10677-1	-0.8699999999999974	0.01
lig_4-99	lig_10703-1	0.8200000000000074	0.01
lig_4-99	lig_10715-1	-0.9399999999999996	0.01
lig_4-99	lig_10720-1	-0.639999999999997	0.01
lig_4-99	lig_10720-2	3.47	0.01
lig_4-99	lig_10748-1	-2.299999999999997	0.01
lig_4-99	lig_10756-1	-4.34	0.01
lig_4-99	lig_10756-2	-4.390000000000001	0.01
lig_4-99	lig_10758-1	-4.42	0.01
lig_4-99	lig_10774-1	-5.97	0.01
lig_4-99	lig_10774-2	-3.69	0.01
lig_4-99	lig_10775-1	-2.4700000000000006	0.01
lig_4-99	lig_10775-2	-4.009999999999999	0.01
lig_4-99	lig_10776-1	-6.589999999999999	0.01
lig_4-99	lig_10776-3	-6.880000000000001	0.01
lig_4-99	lig_10776-4	-7.0600000000000005	0.01
lig_4-99	lig_10778-1	-2.8099999999999987	0.01
lig_4-99	lig_10778-2	-0.7299999999999986	0.01
lig_4-99	lig_10780-1	-2.7700000000000014	0.01
lig_4-99	lig_10823-1	-0.9900000000000002	0.01
lig_4-99	lig_10823-2	-0.81	0.01
lig_4-99	lig_10834-1	-4.83	0.01
lig_4-99	lig_10842-1	-2.4800000000000004	0.01
lig_4-99	lig_10844-1	-2.49	0.01
lig_4-99	lig_10845-1	-2.88	0.01
lig_4-99	lig_10855-1	0.6000000000000001	0.01
lig_4-99	lig_10874-1	5.0600000000000005	0.01
lig_4-99	lig_10895-2	-1.57	0.01
lig_4-99	lig_10908-1	-2.8600000000000003	0.01
lig_4-99	lig_10908-2	-4.21	0.01
lig_4-99	lig_10909-1	-3.31	0.01
lig_4-99	lig_10909-2	-3.5	0.01
lig_4-99	lig_10910-2	-4.119999999999999	0.01
lig_4-99	lig_10912-1	-2.47	0.01
lig_4-99	lig_10913-1	-4.130000000000001	0.01
lig_4-99	lig_10913-2	-1.1700000000000002	0.01
lig_4-99	lig_10936-1	-0.8300000000000001	0.01
lig_4-99	lig_10940-1	-3.62	0.01
lig_4-99	lig_10942-2	-1.7499999999999991	0.01
lig_4-99	lig_10955-1	-2.1999999999999997	0.01
lig_4-99	lig_10958-2	-1.6500000000000004	0.01
lig_4-99	lig_10964-1	-3.58	0.01
lig_4-99	lig_10967-1	-1.9300000000000013	0.01
lig_4-99	lig_10972-1	-2.85	0.01
lig_4-99	lig_10982-1	-0.8400000000000003	0.01
lig_4-99	lig_10985-2	-1.0700000000000005	0.01
lig_4-99	lig_10985-3	-2.0699999999999994	0.01
lig_4-99	lig_10985-4	-0.52	0.01
lig_4-99	lig_10988-1	-3.39	0.01
lig_4-99	lig_10992-1	-3.4399999999999977	0.01
lig_4-99	lig_10997-1	0.1599999999999966	0.01
lig_4-99	lig_10999-1	-3.49	0.01
lig_4-99	lig_11-1	-0.769999999999996	0.01
lig_4-99	lig_11002-1	-1.75	0.01
lig_4-99	lig_11005-1	-1.2	0.01
lig_4-99	lig_11008-1	-2.5500000000000043	0.01
lig_4-99	lig_11009-1	-2.51	0.01
lig_4-99	lig_11012-1	-2.7600000000000016	0.01
lig_4-99	lig_11015-1	-3.66	0.01
lig_4-99	lig_11016-2	0.3000000000000007	0.01
lig_4-99	lig_11026-1	-0.7300000000000004	0.01
lig_4-99	lig_11047-3	-3.3999999999999986	0.01
lig_4-99	lig_11048-1	-3.0500000000000007	0.01
lig_4-99	lig_11054-1	-2.99	0.01
lig_4-99	lig_11056-1	-1.41	0.01
lig_4-99	lig_11057-1	-4.650000000000002	0.01
lig_4-99	lig_11063-1	-4.31	0.01
lig_4-99	lig_11063-2	-5.52	0.01
lig_4-99	lig_11075-2	-3.530000000000001	0.01
lig_4-99	lig_11111-1	-3.86	0.01
lig_4-99	lig_11114-1	0.4000000000000057	0.01
lig_4-99	lig_11137-1	2.799999999999997	0.01
lig_4-99	lig_1115-1	-3.5599999999999987	0.01
lig_4-99	lig_1116-1	-0.71	0.01
lig_4-99	lig_1117-1	-3.43	0.01
lig_4-99	lig_1119-1	-2.91	0.01
lig_4-99	lig_11192-1	-4.0200000000000005	0.01
lig_4-99	lig_11210-1	0.0100000000000051	0.01
lig_4-99	lig_11211-1	2.4099999999999966	0.01
lig_4-99	lig_11221-1	-1.459999999999999	0.01
lig_4-99	lig_11222-1	-1.900000000000002	0.01
lig_4-99	lig_11223-1	-5.319999999999999	0.01
lig_4-99	lig_11224-1	-2.8100000000000005	0.01
lig_4-99	lig_11262-1	-6.85	0.01
lig_4-99	lig_11262-4	-4.09	0.01
lig_4-99	lig_11278-1	-1.14	0.01
lig_4-99	lig_11278-2	-5.19	0.01
lig_4-99	lig_11278-3	-3.1700000000000004	0.01
lig_4-99	lig_11278-4	-2.1	0.01
lig_4-99	lig_11299-1	-3.1000000000000005	0.01
lig_4-99	lig_1138-2	1.2300000000000004	0.01
lig_4-99	lig_11385-2	-3.98	0.01
lig_4-99	lig_11396-1	-3.85	0.01
lig_4-99	lig_1140-1	-1.91	0.01
lig_4-99	lig_1140-2	-0.08	0.01
lig_4-99	lig_11402-1	-2.8500000000000014	0.01
lig_4-99	lig_11406-1	-0.2400000000000091	0.01
lig_4-99	lig_11409-1	-1.41	0.01
lig_4-99	lig_1141-1	-2.8000000000000003	0.01
lig_4-99	lig_11412-1	-1.6499999999999986	0.01
lig_4-99	lig_11500-1	-2.5	0.01
lig_4-99	lig_11510-1	-0.6700000000000017	0.01
lig_4-99	lig_11585-1	-0.62	0.01
lig_4-99	lig_11586-1	-3.58	0.01
lig_4-99	lig_11597-1	-2.91	0.01
lig_4-99	lig_11600-1	-0.1899999999999995	0.01
lig_4-99	lig_11608-1	-1.3500000000000014	0.01
lig_4-99	lig_11627-1	-4.669999999999995	0.01
lig_4-99	lig_11627-2	-3.8100000000000014	0.01
lig_4-99	lig_11653-1	-1.59	0.01
lig_4-99	lig_11682-1	-1.8200000000000005	0.01
lig_4-99	lig_117-1	-0.58	0.01
lig_4-99	lig_11861-1	-2.620000000000001	0.01
lig_4-99	lig_11921-7	-2.1500000000000004	0.01
lig_4-99	lig_11935-1	-1.17	0.01
lig_4-99	lig_11936-2	-5.710000000000001	0.01
lig_4-99	lig_11936-3	-3.9499999999999993	0.01
lig_4-99	lig_11937-1	-5.68	0.01
lig_4-99	lig_11938-1	-3.5100000000000016	0.01
lig_4-99	lig_11942-1	-0.8499999999999996	0.01
lig_4-99	lig_11947-1	-1.6500000000000004	0.01
lig_4-99	lig_11948-1	-1.98	0.01
lig_4-99	lig_11948-4	-1.7300000000000004	0.01
lig_4-99	lig_11952-1	-2.89	0.01
lig_4-99	lig_120-1	-4.23	0.01
lig_4-99	lig_1207-1	-3.1	0.01
lig_4-99	lig_12253-1	-2.300000000000012	0.01
lig_4-99	lig_12256-1	-0.9199999999999946	0.01
lig_4-99	lig_1226-1	-1.2199999999999998	0.01
lig_4-99	lig_1226-2	-0.4699999999999997	0.01
lig_4-99	lig_12355-1	-1.9799999999999995	0.01
lig_4-99	lig_124-1	-3.850000000000005	0.01
lig_4-99	lig_124-2	-1.8999999999999984	0.01
lig_4-99	lig_12491-1	0.0600000000000022	0.01
lig_4-99	lig_12647-1	0.0599999999999996	0.01
lig_4-99	lig_12649-1	-1.8599999999999997	0.01
lig_4-99	lig_12650-1	-3.0599999999999987	0.01
lig_4-99	lig_12652-1	-2.530000000000001	0.01
lig_4-99	lig_12653-1	-1.990000000000001	0.01
lig_4-99	lig_12656-1	-3.34	0.01
lig_4-99	lig_12661-1	-3.68	0.01
lig_4-99	lig_127-1	-2.55	0.01
lig_4-99	lig_12886-1	-2.84	0.01
lig_4-99	lig_12886-2	-1.2900000000000005	0.01
lig_4-99	lig_12888-1	-0.5500000000000007	0.01
lig_4-99	lig_12899-1	-0.2000000000000028	0.01
lig_4-99	lig_12906-1	-2.56	0.01
lig_4-99	lig_1295-3	0.3999999999999986	0.01
lig_4-99	lig_1295-4	0.3800000000000025	0.01
lig_4-99	lig_12987-1	-0.04	0.01
lig_4-99	lig_12987-2	-1.1999999999999995	0.01
lig_4-99	lig_13002-1	-2.390000000000001	0.01
lig_4-99	lig_13043-1	-5.8	0.01
lig_4-99	lig_13061-1	2.0600000000000023	0.01
lig_4-99	lig_13114-1	-3.61	0.01
lig_4-99	lig_13177-1	-0.9299999999999996	0.01
lig_4-99	lig_13226-1	-2.4800000000000004	0.01
lig_4-99	lig_13248-1	-0.8000000000000043	0.01
lig_4-99	lig_13434-1	-2.2299999999999995	0.01
lig_4-99	lig_13435-1	-1.4399999999999995	0.01
lig_4-99	lig_13437-1	-1.53	0.01
lig_4-99	lig_13449-1	-1.63	0.01
lig_4-99	lig_13449-2	-0.4100000000000001	0.01
lig_4-99	lig_13451-2	-1.6899999999999995	0.01
lig_4-99	lig_1346-2	1.0499999999999972	0.01
lig_4-99	lig_1349-1	-1.2299999999999969	0.01
lig_4-99	lig_13518-1	4.579999999999998	0.01
