,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
0,edge_lig_4-99_lig_1-1,-2.0199999999999996,0,0,1
1,edge_lig_4-99_lig_10046-1,-4.5,0,0,1
2,edge_lig_4-99_lig_10084-1,-3.9300000000000033,0,0,1
3,edge_lig_4-99_lig_10092-6,-0.370000000000001,0,0,1
4,edge_lig_4-99_lig_10092-8,0.6699999999999999,0,0,1
5,edge_lig_4-99_lig_10106-2,-2.3500000000000005,0,0,1
6,edge_lig_4-99_lig_10106-3,0.41999999999999993,0,0,1
7,edge_lig_4-99_lig_10106-8,-5.539999999999999,0,0,1
8,edge_lig_4-99_lig_10117-1,-5.75,0,0,1
9,edge_lig_4-99_lig_10134-1,-1.2100000000000009,0,0,1
10,edge_lig_4-99_lig_10134-2,-0.7899999999999991,0,0,1
11,edge_lig_4-99_lig_10139-1,-2.6400000000000006,0,0,1
12,edge_lig_4-99_lig_10186-2,-1.23,0,0,1
13,edge_lig_4-99_lig_10202-1,-3.4,0,0,1
14,edge_lig_4-99_lig_10202-2,-3.8499999999999996,0,0,1
15,edge_lig_4-99_lig_10204-1,-3.2799999999999994,0,0,1
16,edge_lig_4-99_lig_10205-1,-2.1799999999999997,0,0,1
17,edge_lig_4-99_lig_10205-2,-1.2599999999999998,0,0,1
18,edge_lig_4-99_lig_10213-1,-2.4299999999999997,0,0,1
19,edge_lig_4-99_lig_10253-1,-2.210000000000001,0,0,1
20,edge_lig_4-99_lig_10275-12,-0.08999999999999986,0,0,1
21,edge_lig_4-99_lig_10275-13,3.3600000000000003,0,0,1
22,edge_lig_4-99_lig_10275-16,-0.39000000000000057,0,0,1
23,edge_lig_4-99_lig_10275-2,-0.5300000000000011,0,0,1
24,edge_lig_4-99_lig_10275-4,2.5200000000000014,0,0,1
25,edge_lig_4-99_lig_10275-5,0.9900000000000002,0,0,1
26,edge_lig_4-99_lig_10275-8,-2.38,0,0,1
27,edge_lig_4-99_lig_10275-9,-0.7200000000000006,0,0,1
28,edge_lig_4-99_lig_10316-1,0.4499999999999993,0,0,1
29,edge_lig_4-99_lig_10358-1,-5.51,0,0,1
30,edge_lig_4-99_lig_10387-1,-6.27,0,0,1
31,edge_lig_4-99_lig_10387-2,-4.940000000000001,0,0,1
32,edge_lig_4-99_lig_10388-1,-1.8200000000000003,0,0,1
33,edge_lig_4-99_lig_1040-1,-4.58,0,0,1
34,edge_lig_4-99_lig_10499-1,-2.3099999999999987,0,0,1
35,edge_lig_4-99_lig_10511-1,-0.5300000000000011,0,0,1
36,edge_lig_4-99_lig_10543-2,-0.759999999999998,0,0,1
37,edge_lig_4-99_lig_10591-1,-3.9200000000000017,0,0,1
38,edge_lig_4-99_lig_10595-1,0.8300000000000001,0,0,1
39,edge_lig_4-99_lig_10597-1,-5.699999999999999,0,0,1
40,edge_lig_4-99_lig_10599-1,-4.54,0,0,1
41,edge_lig_4-99_lig_10599-2,-3.1599999999999993,0,0,1
42,edge_lig_4-99_lig_106-1,0.4199999999999946,0,0,1
43,edge_lig_4-99_lig_10675-1,-2.66,0,0,1
44,edge_lig_4-99_lig_10677-1,-0.8699999999999974,0,0,1
45,edge_lig_4-99_lig_10703-1,0.8200000000000074,0,0,1
46,edge_lig_4-99_lig_10715-1,-0.9399999999999995,0,0,1
47,edge_lig_4-99_lig_10720-1,-0.639999999999997,0,0,1
48,edge_lig_4-99_lig_10720-2,3.4699999999999998,0,0,1
49,edge_lig_4-99_lig_10748-1,-2.299999999999997,0,0,1
50,edge_lig_4-99_lig_10756-1,-4.34,0,0,1
51,edge_lig_4-99_lig_10756-2,-4.390000000000001,0,0,1
52,edge_lig_4-99_lig_10758-1,-4.42,0,0,1
53,edge_lig_4-99_lig_10774-1,-5.97,0,0,1
54,edge_lig_4-99_lig_10774-2,-3.6900000000000004,0,0,1
55,edge_lig_4-99_lig_10775-1,-2.4700000000000006,0,0,1
56,edge_lig_4-99_lig_10775-2,-4.009999999999999,0,0,1
57,edge_lig_4-99_lig_10776-1,-6.589999999999999,0,0,1
58,edge_lig_4-99_lig_10776-3,-6.880000000000001,0,0,1
59,edge_lig_4-99_lig_10776-4,-7.0600000000000005,0,0,1
60,edge_lig_4-99_lig_10778-1,-2.8099999999999987,0,0,1
61,edge_lig_4-99_lig_10778-2,-0.7299999999999986,0,0,1
62,edge_lig_4-99_lig_10780-1,-2.7700000000000014,0,0,1
63,edge_lig_4-99_lig_10823-1,-0.9900000000000002,0,0,1
64,edge_lig_4-99_lig_10823-2,-0.81,0,0,1
65,edge_lig_4-99_lig_10834-1,-4.83,0,0,1
66,edge_lig_4-99_lig_10842-1,-2.4800000000000004,0,0,1
67,edge_lig_4-99_lig_10844-1,-2.49,0,0,1
68,edge_lig_4-99_lig_10845-1,-2.88,0,0,1
69,edge_lig_4-99_lig_10855-1,0.6000000000000001,0,0,1
70,edge_lig_4-99_lig_10874-1,5.0600000000000005,0,0,1
71,edge_lig_4-99_lig_10895-2,-1.57,0,0,1
72,edge_lig_4-99_lig_10908-1,-2.8600000000000003,0,0,1
73,edge_lig_4-99_lig_10908-2,-4.21,0,0,1
74,edge_lig_4-99_lig_10909-1,-3.3099999999999996,0,0,1
75,edge_lig_4-99_lig_10909-2,-3.5,0,0,1
76,edge_lig_4-99_lig_10910-2,-4.119999999999999,0,0,1
77,edge_lig_4-99_lig_10912-1,-2.47,0,0,1
78,edge_lig_4-99_lig_10913-1,-4.130000000000001,0,0,1
79,edge_lig_4-99_lig_10913-2,-1.1700000000000002,0,0,1
80,edge_lig_4-99_lig_10936-1,-0.8300000000000001,0,0,1
81,edge_lig_4-99_lig_10940-1,-3.62,0,0,1
82,edge_lig_4-99_lig_10942-2,-1.7499999999999991,0,0,1
83,edge_lig_4-99_lig_10955-1,-2.1999999999999993,0,0,1
84,edge_lig_4-99_lig_10958-2,-1.6500000000000004,0,0,1
85,edge_lig_4-99_lig_10964-1,-3.58,0,0,1
86,edge_lig_4-99_lig_10967-1,-1.9300000000000015,0,0,1
87,edge_lig_4-99_lig_10972-1,-2.8499999999999996,0,0,1
88,edge_lig_4-99_lig_10982-1,-0.8400000000000003,0,0,1
89,edge_lig_4-99_lig_10985-2,-1.0700000000000003,0,0,1
90,edge_lig_4-99_lig_10985-3,-2.0699999999999994,0,0,1
91,edge_lig_4-99_lig_10985-4,-0.52,0,0,1
92,edge_lig_4-99_lig_10988-1,-3.3899999999999997,0,0,1
93,edge_lig_4-99_lig_10992-1,-3.4399999999999977,0,0,1
94,edge_lig_4-99_lig_10997-1,0.1599999999999966,0,0,1
95,edge_lig_4-99_lig_10999-1,-3.49,0,0,1
96,edge_lig_4-99_lig_11-1,-0.769999999999996,0,0,1
97,edge_lig_4-99_lig_11002-1,-1.75,0,0,1
98,edge_lig_4-99_lig_11005-1,-1.2,0,0,1
99,edge_lig_4-99_lig_11008-1,-2.5500000000000043,0,0,1
100,edge_lig_4-99_lig_11009-1,-2.5100000000000002,0,0,1
101,edge_lig_4-99_lig_11012-1,-2.7600000000000016,0,0,1
102,edge_lig_4-99_lig_11015-1,-3.66,0,0,1
103,edge_lig_4-99_lig_11016-2,0.3000000000000007,0,0,1
104,edge_lig_4-99_lig_11026-1,-0.7300000000000004,0,0,1
105,edge_lig_4-99_lig_11047-3,-3.3999999999999986,0,0,1
106,edge_lig_4-99_lig_11048-1,-3.0500000000000007,0,0,1
107,edge_lig_4-99_lig_11054-1,-2.9899999999999998,0,0,1
108,edge_lig_4-99_lig_11056-1,-1.4100000000000001,0,0,1
109,edge_lig_4-99_lig_11057-1,-4.650000000000002,0,0,1
110,edge_lig_4-99_lig_11063-1,-4.31,0,0,1
111,edge_lig_4-99_lig_11063-2,-5.52,0,0,1
112,edge_lig_4-99_lig_11075-2,-3.530000000000001,0,0,1
113,edge_lig_4-99_lig_11111-1,-3.8599999999999994,0,0,1
114,edge_lig_4-99_lig_11114-1,0.4000000000000057,0,0,1
115,edge_lig_4-99_lig_11137-1,2.799999999999997,0,0,1
116,edge_lig_4-99_lig_1115-1,-3.5599999999999987,0,0,1
117,edge_lig_4-99_lig_1116-1,-0.71,0,0,1
118,edge_lig_4-99_lig_1117-1,-3.43,0,0,1
119,edge_lig_4-99_lig_1119-1,-2.91,0,0,1
120,edge_lig_4-99_lig_11192-1,-4.0200000000000005,0,0,1
121,edge_lig_4-99_lig_11210-1,0.010000000000005116,0,0,1
