"Title","SMILES"
"39076-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2CCCc1cc(O)cc(O)c1"
"34776-2","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N[C@H]1CC[C@@H](NC(C)=O)CC1"
"19249-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC(N2CCCC2=O)CC1"
"14656-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2NCc1ccc(CC(N)=O)cc1"
"5037-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2CCCN1CCCC1=O"
"14864-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CC[C@H]2C[C@@H]1CO2"
"34776-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N[C@H]1CC[C@H](NC(C)=O)CC1"
"12201-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCN(C(=O)c2ccco2)CC1"
"17264-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC(C(=O)NCC)CC1"
"25852-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2NCCCC(=O)NC1CC1"
"29099-2","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2C[C@H]1CC[C@@H](CO)CC1"
"15014-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCCC(C)(C)C1"
"10001-2","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N[C@@H](CO)Cc1ccc(O)cc1"
"36541-1","CCCCC(=O)N[C@@H](C)c1c2c([nH]c(=O)c1C#N)[C@@H](CCC)CNC2"
"2726-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC(CO)CC1"
"9124-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCN(C(=O)c2cccs2)CC1"
"2754-2","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC[C@H](CCO)C1"
"30849-1","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC2(CC1)CC2"
"14864-2","CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CC[C@@H]2C[C@H]1CO2"
