ligand	DG(MLE)	uncertainty (kcal/mol)
lig_14876-4	1.15	0.01
lig_182-1	3.8200000000000003	0.0
lig_27644-1	3.96	0.0
lig_39967-1	0.3600000000000003	0.01
lig_3514-1	3.33	0.01
lig_17905-1	3.49	0.0
lig_4357-1	4.7	0.01
lig_15485-1	4.51	0.0
lig_44002-3	5.220000000000001	0.01
lig_18799-1	6.03	0.0
lig_42003-1	4.07	0.01
lig_21641-1	6.68	0.01
lig_11210-1	4.26	0.0
lig_41138-4	2.5	0.01
lig_10839-1	1.9400000000000002	0.01
lig_27098-1	4.32	0.01
lig_40812-1	2.1500000000000004	0.0
lig_2283-1	4.94	0.01
lig_27098-2	4.8	0.01
lig_14989-1	7.18	0.01
lig_38285-2	6.6	0.01
lig_30363-1	8.89	0.01
lig_14828-1	2.99	0.0
lig_27554-1	3.6300000000000003	0.01
lig_41644-2	2.16	0.0
lig_15107-1	2.21	0.0
lig_1943-1	1.6400000000000001	0.0
lig_21119-1	2.47	0.0
lig_17919-1	2.73	0.0
lig_12277-1	2.52	0.0
lig_2895-1	3.22	0.0
lig_44143-1	6.79	0.0
lig_16598-4	3.3400000000000003	0.0
lig_38256-4	5.0	0.01
lig_34121-2	3.06	0.0
lig_5693-1	1.4	0.0
lig_29605-2	9.05	0.01
lig_29605-1	5.61	0.01
lig_29605-3	3.89	0.01
lig_17771-1	1.02	0.0
lig_35181-4	2.97	0.01
lig_16635-2	1.04	0.0
lig_1364-1	2.72	0.0
lig_39859-1	2.9000000000000004	0.0
lig_1433-1	3.52	0.0
lig_4616-1	2.1500000000000004	0.0
lig_5605-1	1.79	0.0
lig_27976-1	4.42	0.0
lig_15647-1	7.470000000000001	0.0
lig_3494-1	4.11	0.0
lig_4362-1	1.85	0.0
lig_21488-2	4.38	0.01
lig_27507-2	3.7800000000000002	0.0
lig_16359-1	4.93	0.0
lig_42976-1	3.49	0.0
lig_27396-2	2.89	0.01
lig_9998-1	3.02	0.0
lig_10504-6	3.06	0.01
lig_3495-1	1.6600000000000001	0.0
lig_3326-1	2.8200000000000003	0.0
lig_35181-8	3.16	0.01
lig_155-1	5.470000000000001	0.0
lig_13810-1	5.18	0.0
lig_19370-1	5.07	0.01
lig_27560-1	4.86	0.01
lig_19383-1	5.26	0.01
lig_13591-1	3.06	0.0
lig_10255-1	4.73	0.01
lig_10913-1	2.6100000000000003	0.0
lig_19727-1	8.34	0.01
lig_3568-1	2.25	0.0
lig_3563-1	2.9400000000000004	0.01
lig_10703-1	1.85	0.01
lig_18914-1	3.27	0.01
lig_2733-1	3.9000000000000004	0.0
lig_22-1	3.25	0.0
lig_18864-1	2.71	0.01
lig_1428-1	2.1500000000000004	0.0
lig_4558-1	3.25	0.0
lig_29596-3	3.8600000000000003	0.01
lig_41369-1	6.21	0.01
lig_21342-1	2.8200000000000003	0.01
lig_5700-1	2.34	0.01
lig_29596-2	4.05	0.01
lig_15807-1	4.6	0.01
lig_28075-1	-1.2600000000000002	0.01
lig_14384-1	6.33	0.0
lig_3862-1	4.03	0.0
lig_22035-1	1.5900000000000003	0.01
lig_37106-1	6.12	0.0
lig_4950-1	1.04	0.0
lig_9924-1	3.69	0.0
lig_28080-1	-0.7600000000000002	0.01
lig_10534-1	3.54	0.01
lig_3098-1	0.20999999999999996	0.01
lig_27610-1	3.79	0.0
lig_21341-1	2.35	0.0
lig_14696-2	2.8600000000000003	0.0
lig_42598-1	5.11	0.01
lig_37772-2	1.9100000000000001	0.0
lig_15816-4	3.9000000000000004	0.01
lig_34976-2	2.4400000000000004	0.01
lig_3670-1	4.79	0.0
lig_29372-1	2.74	0.01
lig_4465-2	4.54	0.0
lig_19383-2	3.3600000000000003	0.0
lig_120-1	1.46	0.0
lig_42976-2	2.62	0.0
lig_5035-1	1.8	0.0
lig_33362-1	-0.19999999999999973	0.0
lig_17313-1	2.85	0.0
lig_21286-1	1.9800000000000002	0.0
lig_24945-2	4.09	0.01
lig_907-4	1.77	0.01
lig_44391-1	2.87	0.0
lig_19720-2	3.65	0.01
