,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
1320,edge_lig_14876-4_lig_182-1_run1_protein,-34.01,0.27,0.2,-34.51,0.14,0.38,80,80,default
1321,edge_lig_14876-4_lig_182-1_run1_water,-36.42,0.11,0.09,-36.37,0.11,0.12,80,80,default
3568,edge_lig_21641-1_lig_182-1_run1_protein,36.8,0.25,0.2,37.11,0.22,0.22,80,71,default
3569,edge_lig_21641-1_lig_182-1_run1_water,40.61,0.11,0.11,40.62,0.14,0.14,80,67,default
2548,edge_lig_182-1_lig_39967-1_run1_protein,-48.91,0.36,0.42,-49.81,0.53,0.64,80,80,default
2549,edge_lig_182-1_lig_39967-1_run1_water,-45.73,0.11,0.13,-45.74,0.12,0.11,80,75,default
2546,edge_lig_182-1_lig_3514-1_run1_protein,19.06,0.19,0.21,19.06,0.24,0.24,80,80,default
2547,edge_lig_182-1_lig_3514-1_run1_water,19.8,0.09,0.09,19.79,0.1,0.11,80,80,default
2924,edge_lig_41138-4_lig_182-1_run1_protein,-22.39,0.51,0.49,-22.94,0.82,0.91,80,80,05fs
2925,edge_lig_41138-4_lig_182-1_run1_water,-22.83,0.13,0.13,-22.74,0.13,0.14,80,80,05fs
2542,edge_lig_182-1_lig_17905-1_run1_protein,-42.14,0.4,0.37,-42.18,0.49,1.02,80,80,default
2543,edge_lig_182-1_lig_17905-1_run1_water,-41.46,0.1,0.1,-41.41,0.14,0.12,80,80,default
362,edge_lig_10839-1_lig_182-1_run1_protein,-21.83,0.32,0.27,-22.12,0.38,0.42,80,80,default
363,edge_lig_10839-1_lig_182-1_run1_water,-24.02,0.11,0.13,-23.92,0.11,0.1,80,80,default
2552,edge_lig_182-1_lig_4357-1_run1_protein,-18.61,0.42,0.38,-18.72,0.59,0.6,77,78,default
2553,edge_lig_182-1_lig_4357-1_run1_water,-21.14,0.11,0.11,-21.16,0.1,0.12,70,80,default
1282,edge_lig_27098-1_lig_182-1_run1_protein,15.92,0.44,0.41,14.61,0.36,2.0,80,80,05fs
1283,edge_lig_27098-1_lig_182-1_run1_water,16.34,0.17,0.15,16.37,0.18,0.16,80,80,05fs
1366,edge_lig_14989-1_lig_182-1_run1_protein,18.3,0.61,0.65,16.74,0.48,1.87,80,80,default
1367,edge_lig_14989-1_lig_182-1_run1_water,17.3,0.15,0.16,17.29,0.15,0.19,80,80,default
1288,edge_lig_14828-1_lig_182-1_run1_protein,0.13,0.32,0.27,0.25,0.33,0.4,80,80,default
1289,edge_lig_14828-1_lig_182-1_run1_water,-0.43,0.11,0.12,-0.31,0.14,0.14,80,80,default
2540,edge_lig_182-1_lig_15485-1_run1_protein,70.74,0.25,0.28,71.1,0.37,0.45,80,80,default
2541,edge_lig_182-1_lig_15485-1_run1_water,69.2,0.12,0.12,69.22,0.11,0.13,80,80,default
3026,edge_lig_41644-2_lig_182-1_run1_protein,-23.85,0.33,0.26,-24.02,0.39,0.55,80,80,05fs
3027,edge_lig_41644-2_lig_182-1_run1_water,-25.11,0.1,0.1,-25.09,0.12,0.13,80,80,05fs
1988,edge_lig_16598-4_lig_182-1_run1_protein,36.94,0.59,0.64,35.7,0.58,8.05,80,80,default
1989,edge_lig_16598-4_lig_182-1_run1_water,37.89,0.16,0.17,37.93,0.22,0.19,79,80,default
1708,edge_lig_29605-2_lig_182-1_run1_protein,44.59,0.38,0.34,44.21,0.42,0.63,80,80,05fs
1709,edge_lig_29605-2_lig_182-1_run1_water,49.82,0.19,0.17,49.75,0.21,0.2,80,80,05fs
1706,edge_lig_29605-1_lig_182-1_run1_protein,40.35,0.55,0.47,39.24,0.43,4.07,80,80,05fs
1707,edge_lig_29605-1_lig_182-1_run1_water,40.98,0.18,0.18,40.84,0.14,0.23,80,80,05fs
1712,edge_lig_29605-3_lig_182-1_run1_protein,44.2,0.49,0.48,42.14,0.3,2.67,80,80,05fs
1713,edge_lig_29605-3_lig_182-1_run1_water,44.59,0.14,0.15,44.65,0.19,0.15,80,80,05fs
2242,edge_lig_35181-4_lig_182-1_run1_protein,28.71,0.75,0.71,28.33,0.48,13.26,80,80,05fs
2243,edge_lig_35181-4_lig_182-1_run1_water,29.1,0.16,0.19,29.17,0.23,0.16,80,80,05fs
2058,edge_lig_16635-2_lig_182-1_run1_protein,44.19,0.71,0.72,39.96,0.42,33.97,80,80,default
2059,edge_lig_16635-2_lig_182-1_run1_water,37.99,0.18,0.19,38.16,0.22,0.17,53,80,default
1568,edge_lig_27976-1_lig_182-1_run1_protein,-0.11,0.47,0.47,-0.98,0.37,1.19,80,80,05fs
1569,edge_lig_27976-1_lig_182-1_run1_water,0.51,0.15,0.16,0.44,0.2,0.17,80,80,05fs
830,edge_lig_21488-2_lig_182-1_run1_protein,22.9,0.54,0.41,22.84,0.42,1.96,80,80,05fs
831,edge_lig_21488-2_lig_182-1_run1_water,25.83,0.15,0.19,25.68,0.22,0.14,80,80,05fs
1312,edge_lig_27396-2_lig_182-1_run1_protein,4.59,0.34,0.37,4.86,0.36,0.31,80,80,05fs
1313,edge_lig_27396-2_lig_182-1_run1_water,4.11,0.22,0.22,3.76,0.32,0.19,80,80,05fs
122,edge_lig_10504-6_lig_182-1_run1_protein,-0.27,0.33,0.32,0.27,0.61,0.58,80,80,default
123,edge_lig_10504-6_lig_182-1_run1_water,1.28,0.17,0.13,1.32,0.11,0.18,80,80,default
2252,edge_lig_35181-8_lig_182-1_run1_protein,29.75,0.55,0.69,27.68,0.91,1.12,80,80,05fs
2253,edge_lig_35181-8_lig_182-1_run1_water,29.11,0.16,0.14,29.1,0.15,0.14,80,80,05fs
882,edge_lig_13810-1_lig_182-1_run1_protein,35.07,0.62,0.56,34.41,0.35,1.67,46,80,default
883,edge_lig_13810-1_lig_182-1_run1_water,36.63,0.22,0.22,36.88,0.22,0.16,66,70,default
2554,edge_lig_182-1_lig_44002-3_run1_protein,24.59,0.61,0.53,27.05,0.28,35.88,80,80,default
2555,edge_lig_182-1_lig_44002-3_run1_water,21.36,0.15,0.22,21.39,0.25,0.19,78,80,default
2360,edge_lig_3568-1_lig_182-1_run1_protein,20.27,0.22,0.2,20.19,0.36,0.26,80,80,05fs
2361,edge_lig_3568-1_lig_182-1_run1_water,19.26,0.08,0.09,19.34,0.1,0.1,80,80,05fs
1300,edge_lig_2733-1_lig_182-1_run1_protein,-7.2,0.48,0.42,-7.41,0.57,0.91,80,80,05fs
1301,edge_lig_2733-1_lig_182-1_run1_water,-6.18,0.12,0.13,-6.01,0.15,0.11,80,80,05fs
2544,edge_lig_182-1_lig_18799-1_run1_protein,-58.46,0.58,0.66,-58.81,0.94,0.8,80,58,default
2545,edge_lig_182-1_lig_18799-1_run1_water,-61.91,0.18,0.16,-62.18,0.19,0.13,61,73,default
2550,edge_lig_182-1_lig_42003-1_run1_protein,-34.45,0.67,0.7,-34.88,1.62,0.82,76,74,default
2551,edge_lig_182-1_lig_42003-1_run1_water,-35.0,0.16,0.16,-35.13,0.19,0.17,76,61,default
3468,edge_lig_21342-1_lig_182-1_run1_protein,26.97,0.62,0.63,26.08,0.4,9.42,80,80,default
3469,edge_lig_21342-1_lig_182-1_run1_water,28.32,0.11,0.12,28.42,0.14,0.11,80,78,default
1736,edge_lig_15807-1_lig_182-1_run1_protein,84.9,0.65,0.63,80.13,0.32,41.36,80,74,default
1737,edge_lig_15807-1_lig_182-1_run1_water,81.28,0.2,0.2,81.19,0.29,0.21,75,78,default
2708,edge_lig_3862-1_lig_182-1_run1_protein,51.02,0.6,0.45,49.8,0.38,3.78,80,55,05fs
2709,edge_lig_3862-1_lig_182-1_run1_water,51.36,0.23,0.21,51.16,0.24,0.17,80,80,05fs
