ligand,DG(MLE),uncertainty (kcal/mol),ligand_num
lig_14876-4,1.6100000000000003,0.01,14876-4
lig_182-1,3.5900000000000003,0.0,182-1
lig_27644-1,4.21,0.0,27644-1
lig_39967-1,-0.1499999999999999,0.01,39967-1
lig_3514-1,3.97,0.01,3514-1
lig_17905-1,4.37,0.0,17905-1
lig_4357-1,5.49,0.01,4357-1
lig_15485-1,6.26,0.0,15485-1
lig_44002-3,3.56,0.01,44002-3
lig_18799-1,8.01,0.0,18799-1
lig_42003-1,4.62,0.01,42003-1
lig_21641-1,6.58,0.01,21641-1
lig_11210-1,4.46,0.0,11210-1
lig_41138-4,3.0500000000000003,0.01,41138-4
lig_10839-1,2.03,0.01,10839-1
lig_27098-1,5.470000000000001,0.01,27098-1
lig_40812-1,2.9000000000000004,0.0,40812-1
lig_2283-1,6.44,0.01,2283-1
lig_27098-2,6.09,0.01,27098-2
lig_14989-1,5.390000000000001,0.01,14989-1
lig_38285-2,7.54,0.01,38285-2
lig_30363-1,7.23,0.01,30363-1
lig_14828-1,3.66,0.0,14828-1
lig_27554-1,4.15,0.01,27554-1
lig_41644-2,2.93,0.0,41644-2
lig_15107-1,2.59,0.0,15107-1
lig_1943-1,1.5,0.0,1943-1
lig_21119-1,2.76,0.0,21119-1
lig_17919-1,4.0,0.0,17919-1
lig_12277-1,3.47,0.0,12277-1
lig_2895-1,4.0200000000000005,0.0,2895-1
lig_44143-1,8.15,0.0,44143-1
lig_16598-4,3.93,0.0,16598-4
lig_38256-4,5.86,0.01,38256-4
lig_34121-2,2.85,0.0,34121-2
lig_5693-1,2.7,0.0,5693-1
lig_29605-2,9.13,0.01,29605-2
lig_29605-1,6.25,0.01,29605-1
lig_29605-3,4.93,0.01,29605-3
lig_17771-1,1.2800000000000002,0.0,17771-1
lig_35181-4,4.5200000000000005,0.01,35181-4
lig_16635-2,2.76,0.0,16635-2
lig_1364-1,2.93,0.0,1364-1
lig_39859-1,3.56,0.0,39859-1
lig_1433-1,3.76,0.0,1433-1
lig_4616-1,3.68,0.0,4616-1
lig_5605-1,3.2,0.0,5605-1
lig_27976-1,4.68,0.0,27976-1
lig_15647-1,6.08,0.0,15647-1
lig_3494-1,3.96,0.0,3494-1
lig_4362-1,2.56,0.0,4362-1
lig_21488-2,4.17,0.01,21488-2
lig_27507-2,4.16,0.0,27507-2
lig_16359-1,5.54,0.0,16359-1
lig_42976-1,4.04,0.0,42976-1
lig_27396-2,4.19,0.01,27396-2
lig_9998-1,3.53,0.0,9998-1
lig_10504-6,3.18,0.01,10504-6
lig_3495-1,1.66,0.0,3495-1
lig_3326-1,3.06,0.0,3326-1
lig_35181-8,4.58,0.01,35181-8
lig_155-1,5.4,0.0,155-1
lig_13810-1,5.63,0.0,13810-1
lig_19370-1,5.26,0.01,19370-1
lig_27560-1,3.95,0.01,27560-1
lig_19383-1,5.82,0.01,19383-1
lig_13591-1,4.79,0.0,13591-1
lig_10255-1,4.62,0.01,10255-1
lig_10913-1,3.44,0.0,10913-1
lig_19727-1,9.24,0.01,19727-1
lig_3568-1,2.7,0.0,3568-1
lig_3563-1,3.45,0.01,3563-1
lig_10703-1,2.39,0.01,10703-1
lig_18914-1,4.16,0.01,18914-1
lig_2733-1,4.65,0.0,2733-1
lig_22-1,3.42,0.0,22-1
lig_18864-1,5.29,0.01,18864-1
lig_1428-1,2.38,0.0,1428-1
lig_4558-1,4.0,0.0,4558-1
lig_29596-3,3.2,0.01,29596-3
lig_41369-1,6.03,0.01,41369-1
lig_21342-1,3.79,0.01,21342-1
lig_5700-1,3.0500000000000003,0.01,5700-1
lig_29596-2,5.470000000000001,0.01,29596-2
lig_15807-1,7.76,0.01,15807-1
lig_28075-1,-1.6800000000000002,0.01,28075-1
lig_14384-1,7.1,0.0,14384-1
lig_3862-1,4.5600000000000005,0.0,3862-1
lig_22035-1,3.25,0.01,22035-1
lig_37106-1,6.23,0.0,37106-1
lig_4950-1,1.5100000000000002,0.0,4950-1
lig_9924-1,4.73,0.0,9924-1
lig_28080-1,-1.2799999999999998,0.01,28080-1
lig_10534-1,4.85,0.01,10534-1
lig_3098-1,1.9,0.01,3098-1
lig_27610-1,4.22,0.0,27610-1
lig_21341-1,3.18,0.0,21341-1
lig_14696-2,4.34,0.0,14696-2
lig_42598-1,4.140000000000001,0.01,42598-1
lig_37772-2,2.1500000000000004,0.0,37772-2
lig_15816-4,4.33,0.01,15816-4
lig_34976-2,1.84,0.01,34976-2
lig_3670-1,5.1,0.0,3670-1
lig_29372-1,4.84,0.01,29372-1
lig_4465-2,5.69,0.0,4465-2
lig_19383-2,4.61,0.0,19383-2
lig_120-1,1.65,0.0,120-1
lig_42976-2,4.13,0.0,42976-2
lig_5035-1,2.93,0.0,5035-1
lig_33362-1,-0.1299999999999999,0.0,33362-1
lig_17313-1,3.65,0.0,17313-1
lig_21286-1,2.4400000000000004,0.0,21286-1
lig_24945-2,5.53,0.01,24945-2
lig_907-4,2.5700000000000003,0.01,907-4
lig_44391-1,2.95,0.0,44391-1
lig_19720-2,6.87,0.01,19720-2
lig_41752-1,0.8900000000000001,0.01,41752-1
lig_10187-1,3.43,0.01,10187-1
lig_11344-2,4.13,0.01,11344-2
lig_19268-1,5.77,0.01,19268-1
lig_42436-1,4.44,0.0,42436-1
lig_30432-2,6.32,0.0,30432-2
lig_15474-1,3.35,0.01,15474-1
lig_3570-1,4.390000000000001,0.0,3570-1
lig_1597-1,4.77,0.0,1597-1
lig_5803-1,4.24,0.01,5803-1
lig_16318-1,4.29,0.0,16318-1
lig_42434-2,5.43,0.01,42434-2
lig_18796-2,6.87,0.01,18796-2
lig_8-1,2.27,0.0,8-1
lig_4814-2,3.46,0.0,4814-2
lig_29646-1,6.26,0.0,29646-1
lig_25852-1,-2.25,0.01,25852-1
lig_14694-1,4.86,0.0,14694-1
lig_10757-1,3.45,0.0,10757-1
lig_42980-1,5.78,0.0,42980-1
lig_6805-1,3.45,0.0,6805-1
lig_8991-1,3.44,0.0,8991-1
lig_3118-1,3.39,0.0,3118-1
lig_36540-2,5.5600000000000005,0.0,36540-2
lig_29198-1,1.66,0.0,29198-1
lig_42186-1,5.84,0.01,42186-1
lig_17917-1,6.720000000000001,0.0,17917-1
lig_21289-1,6.59,0.0,21289-1
lig_44645-1,6.890000000000001,0.01,44645-1
lig_42392-1,5.13,0.0,42392-1
lig_18775-1,5.59,0.01,18775-1
lig_22072-1,6.34,0.01,22072-1
lig_3839-1,8.72,0.01,3839-1
lig_33228-1,3.19,0.01,33228-1
lig_32276-3,0.8999999999999999,0.01,32276-3
lig_2335-1,5.27,0.0,2335-1
lig_5426-2,3.74,0.0,5426-2
lig_22925-1,3.7,0.0,22925-1
lig_43351-1,6.28,0.0,43351-1
lig_42023-1,7.84,0.0,42023-1
lig_24950-3,1.1100000000000003,0.01,24950-3
lig_16315-1,3.54,0.0,16315-1
lig_40424-2,1.46,0.0,40424-2
lig_18797-1,4.4,0.0,18797-1
lig_30778-1,4.83,0.01,30778-1
lig_16334-1,2.26,0.01,16334-1
lig_20758-1,1.94,0.01,20758-1
lig_32453-1,0.6699999999999999,0.01,32453-1
lig_20693-1,4.07,0.01,20693-1
lig_20754-3,1.1800000000000002,0.01,20754-3
lig_17260-1,1.15,0.01,17260-1
lig_16357-2,0.5800000000000001,0.01,16357-2
lig_25923-1,0.56,0.01,25923-1
lig_42519-1,1.5900000000000003,0.01,42519-1
lig_16609-1,2.26,0.01,16609-1
lig_34233-1,0.4100000000000001,0.01,34233-1
lig_2714-1,2.22,0.01,2714-1
lig_15552-1,1.1800000000000002,0.01,15552-1
lig_36497-1,1.48,0.01,36497-1
lig_2936-1,0.0900000000000003,0.01,2936-1
lig_20726-3,1.95,0.01,20726-3
lig_3241-1,0.2000000000000001,0.01,3241-1
lig_36659-1,1.41,0.01,36659-1
lig_21812-4,-1.1800000000000002,0.01,21812-4
lig_28176-1,2.63,0.01,28176-1
lig_27567-1,1.4300000000000002,0.01,27567-1
lig_36670-1,0.92,0.01,36670-1
lig_20772-1,0.27,0.01,20772-1
lig_25919-1,1.0900000000000003,0.01,25919-1
lig_7127-2,0.3000000000000002,0.01,7127-2
lig_39175-2,1.4900000000000002,0.01,39175-2
lig_29670-1,3.42,0.01,29670-1
lig_7103-2,0.31,0.01,7103-2
lig_8384-1,0.6400000000000001,0.01,8384-1
lig_20746-1,1.6900000000000002,0.01,20746-1
lig_17305-1,0.4500000000000002,0.01,17305-1
lig_27561-1,1.1100000000000003,0.01,27561-1
lig_27566-1,3.56,0.01,27566-1
lig_27566-2,1.82,0.01,27566-2
lig_16357-1,-1.0699999999999998,0.01,16357-1
lig_34746-1,0.5900000000000003,0.01,34746-1
lig_17305-2,0.6300000000000003,0.01,17305-2
lig_20758-5,2.0,0.01,20758-5
lig_22027-1,2.5700000000000003,0.01,22027-1
lig_20747-1,6.01,0.01,20747-1
lig_20771-2,4.04,0.01,20771-2
lig_23487-2,-0.4399999999999999,0.01,23487-2
lig_9758-1,2.04,0.01,9758-1
lig_8423-1,3.01,0.01,8423-1
lig_14594-1,1.56,0.01,14594-1
lig_21812-1,2.0700000000000003,0.01,21812-1
lig_19262-1,-1.0299999999999998,0.01,19262-1
lig_15546-1,1.37,0.01,15546-1
lig_17688-1,0.6499999999999999,0.01,17688-1
lig_30813-1,-0.6400000000000001,0.01,30813-1
lig_18872-1,5.19,0.01,18872-1
lig_21334-1,0.56,0.01,21334-1
lig_20758-6,0.5800000000000001,0.01,20758-6
lig_27566-3,2.26,0.01,27566-3
lig_20712-1,4.54,0.01,20712-1
lig_20801-3,1.81,0.01,20801-3
lig_43683-1,2.1,0.01,43683-1
lig_27557-2,-0.2299999999999999,0.01,27557-2
lig_30810-1,3.74,0.01,30810-1
lig_20747-2,2.91,0.01,20747-2
lig_20714-1,-1.1599999999999997,0.01,20714-1
lig_20709-2,2.81,0.01,20709-2
lig_41211-1,0.2800000000000002,0.01,41211-1
lig_14602-1,2.41,0.01,14602-1
lig_14591-1,2.38,0.01,14591-1
lig_20712-2,1.15,0.01,20712-2
lig_10694-1,0.5,0.01,10694-1
lig_3838-1,0.0900000000000003,0.01,3838-1
lig_30849-1,-1.7600000000000002,0.01,30849-1
lig_8432-1,1.7500000000000002,0.01,8432-1
lig_30805-2,1.86,0.01,30805-2
lig_36661-1,1.0900000000000003,0.01,36661-1
lig_28183-1,2.77,0.01,28183-1
lig_27572-1,0.8700000000000001,0.01,27572-1
lig_43638-1,2.5,0.01,43638-1
lig_27565-2,1.0100000000000002,0.01,27565-2
lig_20706-1,2.1500000000000004,0.01,20706-1
lig_30805-1,3.5700000000000003,0.01,30805-1
lig_2739-2,3.0500000000000003,0.01,2739-2
lig_44967-1,2.31,0.01,44967-1
lig_20801-1,6.26,0.01,20801-1
lig_27573-1,5.54,0.01,27573-1
lig_29835-1,2.7,0.01,29835-1
