ligand	DG(MLE)	uncertainty (kcal/mol)
lig_14876-4	1.6100000000000003	0.01
lig_182-1	3.5900000000000003	0.0
lig_27644-1	4.21	0.0
lig_39967-1	-0.1499999999999999	0.01
lig_3514-1	3.97	0.01
lig_17905-1	4.37	0.0
lig_4357-1	5.49	0.01
lig_15485-1	6.26	0.0
lig_44002-3	3.56	0.01
lig_18799-1	8.01	0.0
lig_42003-1	4.62	0.01
lig_21641-1	6.58	0.01
lig_11210-1	4.46	0.0
lig_41138-4	3.0500000000000003	0.01
lig_10839-1	2.0300000000000002	0.01
lig_27098-1	5.470000000000001	0.01
lig_40812-1	2.9000000000000004	0.0
lig_2283-1	6.4399999999999995	0.01
lig_27098-2	6.09	0.01
lig_14989-1	5.390000000000001	0.01
lig_38285-2	7.54	0.01
lig_30363-1	7.23	0.01
lig_14828-1	3.66	0.0
lig_27554-1	4.15	0.01
lig_41644-2	2.93	0.0
lig_15107-1	2.59	0.0
lig_1943-1	1.5	0.0
lig_21119-1	2.7600000000000002	0.0
lig_17919-1	4.0	0.0
lig_12277-1	3.47	0.0
lig_2895-1	4.0200000000000005	0.0
lig_44143-1	8.15	0.0
lig_16598-4	3.93	0.0
lig_38256-4	5.86	0.01
lig_34121-2	2.85	0.0
lig_5693-1	2.7	0.0
lig_29605-2	9.13	0.01
lig_29605-1	6.25	0.01
lig_29605-3	4.93	0.01
lig_17771-1	1.2800000000000002	0.0
lig_35181-4	4.5200000000000005	0.01
lig_16635-2	2.7600000000000002	0.0
lig_1364-1	2.93	0.0
lig_39859-1	3.56	0.0
lig_1433-1	3.7600000000000002	0.0
lig_4616-1	3.68	0.0
lig_5605-1	3.2	0.0
lig_27976-1	4.68	0.0
lig_15647-1	6.08	0.0
lig_3494-1	3.96	0.0
lig_4362-1	2.56	0.0
lig_21488-2	4.17	0.01
lig_27507-2	4.16	0.0
lig_16359-1	5.54	0.0
lig_42976-1	4.04	0.0
lig_27396-2	4.19	0.01
lig_9998-1	3.5300000000000002	0.0
lig_10504-6	3.18	0.01
lig_3495-1	1.6600000000000001	0.0
lig_3326-1	3.06	0.0
lig_35181-8	4.58	0.01
lig_155-1	5.4	0.0
lig_13810-1	5.63	0.0
lig_19370-1	5.26	0.01
lig_27560-1	3.95	0.01
lig_19383-1	5.82	0.01
lig_13591-1	4.79	0.0
lig_10255-1	4.62	0.01
lig_10913-1	3.44	0.0
lig_19727-1	9.24	0.01
lig_3568-1	2.7	0.0
lig_3563-1	3.45	0.01
lig_10703-1	2.39	0.01
lig_18914-1	4.16	0.01
lig_2733-1	4.65	0.0
lig_22-1	3.42	0.0
lig_18864-1	5.29	0.01
lig_1428-1	2.38	0.0
lig_4558-1	4.0	0.0
lig_29596-3	3.2	0.01
lig_41369-1	6.03	0.01
lig_21342-1	3.79	0.01
lig_5700-1	3.0500000000000003	0.01
lig_29596-2	5.470000000000001	0.01
lig_15807-1	7.76	0.01
lig_28075-1	-1.6800000000000002	0.01
lig_14384-1	7.1	0.0
lig_3862-1	4.5600000000000005	0.0
lig_22035-1	3.25	0.01
lig_37106-1	6.23	0.0
lig_4950-1	1.5100000000000002	0.0
lig_9924-1	4.73	0.0
lig_28080-1	-1.2799999999999998	0.01
lig_10534-1	4.85	0.01
lig_3098-1	1.9000000000000001	0.01
lig_27610-1	4.22	0.0
lig_21341-1	3.18	0.0
lig_14696-2	4.34	0.0
lig_42598-1	4.140000000000001	0.01
lig_37772-2	2.1500000000000004	0.0
lig_15816-4	4.33	0.01
lig_34976-2	1.84	0.01
lig_3670-1	5.1	0.0
lig_29372-1	4.84	0.01
lig_4465-2	5.6899999999999995	0.0
lig_19383-2	4.61	0.0
lig_120-1	1.6500000000000001	0.0
lig_42976-2	4.13	0.0
lig_5035-1	2.93	0.0
lig_33362-1	-0.1299999999999999	0.0
lig_17313-1	3.65	0.0
lig_21286-1	2.4400000000000004	0.0
lig_24945-2	5.53	0.01
lig_907-4	2.5700000000000003	0.01
lig_44391-1	2.95	0.0
lig_19720-2	6.87	0.01
lig_41752-1	0.8900000000000001	0.01
lig_10187-1	3.43	0.01
lig_11344-2	4.13	0.01
lig_19268-1	5.77	0.01
lig_42436-1	4.44	0.0
lig_30432-2	6.32	0.0
lig_15474-1	3.35	0.01
lig_3570-1	4.390000000000001	0.0
lig_1597-1	4.77	0.0
lig_5803-1	4.24	0.01
lig_16318-1	4.29	0.0
lig_42434-2	5.43	0.01
lig_18796-2	6.87	0.01
lig_8-1	2.27	0.0
lig_4814-2	3.46	0.0
lig_29646-1	6.26	0.0
lig_25852-1	-2.2499999999999996	0.01
lig_14694-1	4.86	0.0
lig_10757-1	3.45	0.0
lig_42980-1	5.78	0.0
lig_6805-1	3.45	0.0
lig_8991-1	3.44	0.0
lig_3118-1	3.39	0.0
lig_36540-2	5.5600000000000005	0.0
lig_29198-1	1.6600000000000001	0.0
lig_42186-1	5.84	0.01
lig_17917-1	6.720000000000001	0.0
lig_21289-1	6.59	0.0
lig_44645-1	6.890000000000001	0.01
lig_42392-1	5.13	0.0
lig_18775-1	5.59	0.01
lig_22072-1	6.34	0.01
lig_3839-1	8.72	0.01
lig_33228-1	3.19	0.01
lig_32276-3	0.8999999999999999	0.01
lig_2335-1	5.27	0.0
lig_5426-2	3.74	0.0
lig_22925-1	3.7	0.0
lig_43351-1	6.28	0.0
lig_42023-1	7.84	0.0
lig_24950-3	1.1100000000000003	0.01
lig_16315-1	3.54	0.0
lig_40424-2	1.46	0.0
lig_18797-1	4.4	0.0
lig_30778-1	4.83	0.01
lig_16334-1	2.2600000000000002	0.01
lig_20758-1	1.9400000000000002	0.01
lig_32453-1	0.6699999999999999	0.01
lig_20693-1	4.07	0.01
lig_20754-3	1.1800000000000002	0.01
lig_17260-1	1.15	0.01
lig_16357-2	0.5800000000000001	0.01
lig_25923-1	0.56	0.01
lig_42519-1	1.5900000000000003	0.01
lig_16609-1	2.2600000000000002	0.01
lig_34233-1	0.41000000000000014	0.01
lig_2714-1	2.22	0.01
lig_15552-1	1.1800000000000002	0.01
lig_36497-1	1.48	0.01
lig_2936-1	0.0900000000000003	0.01
lig_20726-3	1.9500000000000002	0.01
lig_3241-1	0.20000000000000018	0.01
lig_36659-1	1.4100000000000001	0.01
lig_21812-4	-1.1800000000000002	0.01
lig_28176-1	2.63	0.01
lig_27567-1	1.4300000000000002	0.01
lig_36670-1	0.9199999999999999	0.01
lig_20772-1	0.27	0.01
lig_25919-1	1.0900000000000003	0.01
lig_7127-2	0.30000000000000027	0.01
lig_39175-2	1.4900000000000002	0.01
lig_29670-1	3.42	0.01
lig_7103-2	0.31000000000000005	0.01
lig_8384-1	0.6400000000000001	0.01
