ligand_i	ligand_j	DDG(i->j) (kcal/mol)	uncertainty (kcal/mol)
lig_14876-4	lig_182-1	1.8599999999999997	0.01
lig_21641-1	lig_182-1	-3.509999999999998	0.01
lig_182-1	lig_39967-1	-4.07	0.01
lig_182-1	lig_3514-1	-0.7300000000000004	0.01
lig_41138-4	lig_182-1	-0.2000000000000028	0.01
lig_182-1	lig_17905-1	-0.7700000000000031	0.01
lig_10839-1	lig_182-1	1.8000000000000007	0.01
lig_182-1	lig_4357-1	2.4400000000000013	0.01
lig_27098-1	lig_182-1	-1.7600000000000016	0.01
lig_14989-1	lig_182-1	-0.5500000000000007	0.01
lig_14828-1	lig_182-1	0.56	0.01
lig_182-1	lig_15485-1	1.8799999999999957	0.01
lig_41644-2	lig_182-1	1.0700000000000005	0.01
lig_16598-4	lig_182-1	-2.229999999999997	0.01
lig_29605-2	lig_182-1	-5.539999999999999	0.01
lig_29605-1	lig_182-1	-1.6000000000000014	0.01
lig_29605-3	lig_182-1	-2.509999999999998	0.01
lig_35181-4	lig_182-1	-0.8400000000000034	0.01
lig_16635-2	lig_182-1	1.8000000000000045	0.01
lig_27976-1	lig_182-1	-1.42	0.01
lig_21488-2	lig_182-1	-2.84	0.01
lig_27396-2	lig_182-1	1.1000000000000003	0.01
lig_10504-6	lig_182-1	-1.05	0.01
lig_35181-8	lig_182-1	-1.4200000000000017	0.01
lig_13810-1	lig_182-1	-2.470000000000006	0.01
lig_182-1	lig_44002-3	5.66	0.01
lig_3568-1	lig_182-1	0.8500000000000014	0.01
lig_2733-1	lig_182-1	-1.4000000000000004	0.01
lig_182-1	lig_18799-1	3.369999999999997	0.01
lig_182-1	lig_42003-1	0.25	0.01
lig_21342-1	lig_182-1	-2.3400000000000034	0.01
lig_15807-1	lig_182-1	-1.0600000000000025	0.01
lig_3862-1	lig_182-1	-1.3599999999999994	0.01
lig_21341-1	lig_182-1	1.75	0.01
lig_42598-1	lig_182-1	-5.560000000000002	0.01
lig_37772-2	lig_182-1	4.199999999999999	0.01
lig_34976-2	lig_182-1	0.2200000000000006	0.01
lig_4465-2	lig_182-1	0.8099999999999987	0.01
lig_33362-1	lig_182-1	5.41	0.01
lig_41752-1	lig_182-1	4.17	0.01
lig_11344-2	lig_182-1	-2.0700000000000003	0.01
lig_29596-2	lig_182-1	-2.3200000000000003	0.01
lig_42436-1	lig_182-1	-0.2599999999999998	0.01
lig_14694-1	lig_182-1	1.04	0.01
lig_22072-1	lig_182-1	-3.2499999999999964	0.01
lig_3839-1	lig_182-1	-7.599999999999998	0.01
lig_32276-3	lig_182-1	2.84	0.01
lig_43351-1	lig_182-1	-1.33	0.01
lig_16334-1	lig_20758-1	0.77	0.01
lig_16334-1	lig_32453-1	-1.7700000000000031	0.01
lig_15552-1	lig_16334-1	0.91	0.01
lig_16334-1	lig_20693-1	1.2100000000000009	0.01
lig_36659-1	lig_16334-1	1.2999999999999972	0.01
lig_16334-1	lig_20754-3	-2.459999999999999	0.01
lig_20772-1	lig_16334-1	1.6300000000000008	0.01
lig_7127-2	lig_16334-1	-0.5800000000000001	0.01
lig_8384-1	lig_16334-1	3.719999999999999	0.01
lig_27561-1	lig_16334-1	1.6400000000000006	0.01
lig_16334-1	lig_17260-1	-0.7100000000000009	0.01
lig_17305-2	lig_16334-1	0.5899999999999999	0.01
lig_14594-1	lig_16334-1	1.0399999999999991	0.01
lig_21334-1	lig_20758-6	3.039999999999999	0.01
lig_20758-6	lig_25919-1	4.690000000000001	0.01
lig_20758-6	lig_20747-2	2.549999999999999	0.01
lig_10694-1	lig_20758-6	1.4699999999999989	0.01
lig_8384-1	lig_20746-1	1.1599999999999993	0.01
lig_30805-2	lig_20746-1	-0.5799999999999992	0.01
lig_20746-1	lig_8432-1	-0.25	0.01
lig_27565-2	lig_27566-1	2.1500000000000004	0.01
lig_27565-2	lig_17688-1	0.1000000000000014	0.01
lig_27565-2	lig_20706-1	0.5200000000000014	0.01
lig_27565-2	lig_30805-1	2.1300000000000026	0.01
lig_27565-2	lig_2739-2	3.020000000000003	0.01
lig_20774-6	lig_20758-5	0.5400000000000009	0.01
lig_14914-1	lig_20758-5	1.96	0.01
lig_20758-5	lig_5718-1	-2.619999999999999	0.01
lig_17694-1	lig_20758-5	0.8199999999999967	0.01
lig_17305-2	lig_20758-5	0.4300000000000015	0.01
lig_15546-1	lig_20758-1	3.490000000000002	0.01
lig_25919-2	lig_20758-1	-4.469999999999999	0.01
lig_20758-1	lig_16357-2	-2.6500000000000004	0.01
lig_8423-1	lig_20758-1	-1.5900000000000034	0.01
lig_16509-1	lig_20746-4	3.91	0.01
lig_29840-1	lig_20746-4	1.9699999999999989	0.01
lig_19291-1	lig_20746-4	5.9	0.01
lig_10683-1	lig_20746-4	0.1899999999999977	0.01
lig_19260-1	lig_20714-3	0.7300000000000004	0.01
lig_37083-2	lig_20714-3	-0.1599999999999966	0.01
lig_20774-1	lig_23901-1	-4.209999999999994	0.01
lig_20774-1	lig_2949-1	-2.9700000000000006	0.01
lig_20774-1	lig_7103-1	-2.910000000000004	0.01
lig_20774-1	lig_2714-1	-1.5700000000000005	0.01
lig_20714-6	lig_21812-1	-0.519999999999996	0.01
lig_20714-6	lig_25919-1	-1.0300000000000011	0.01
lig_20714-6	lig_16357-2	0.8399999999999999	0.01
lig_20714-6	lig_20750-2	-2.93	0.01
lig_16357-1	lig_20714-1	3.1500000000000004	0.01
lig_25919-1	lig_20714-1	-3.3200000000000003	0.01
lig_17268-1	lig_20714-1	-9.069999999999991	0.01
lig_5714-1	lig_20714-1	-0.3999999999999915	0.01
lig_10541-1	lig_5718-2	0.5300000000000002	0.01
lig_10541-1	lig_16199-1	0.1400000000000005	0.01
lig_10541-1	lig_11368-2	2.6599999999999966	0.01
lig_10541-1	lig_20693-1	4.419999999999998	0.01
lig_10541-1	lig_22030-1	1.8700000000000043	0.01
lig_10541-1	lig_20754-1	0.07	0.01
lig_10541-1	lig_8384-1	-1.509999999999998	0.01
lig_10541-1	lig_34827-2	2.030000000000001	0.01
lig_10541-1	lig_2714-1	-0.1900000000000012	0.01
lig_8401-1	lig_10541-1	-2.870000000000001	0.01
lig_2338-2	lig_20774-2	5.27	0.01
lig_20774-2	lig_29535-1	-1.1900000000000013	0.01
