# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_13,-10.50,0.00
lig_18,-8.68,0.00
lig_19,-8.45,0.00
lig_20,-8.46,0.00
lig_21,-8.51,0.00
lig_22,-8.70,0.00
lig_23,-8.48,0.00
lig_27,-10.02,0.00
lig_28,-9.13,0.00
lig_29,-9.56,0.00
lig_30,-10.67,0.00
lig_31,-9.55,0.00
lig_32,-9.77,0.00
lig_33,-10.75,0.00
lig_34,-11.21,0.00
lig_35,-10.42,0.00
lig_36,-10.75,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_14876-4,lig_182-1,1.86,0,0.01
lig_21641-1,lig_182-1,-3.51,0,0.01
lig_182-1,lig_39967-1,-4.07,0,0.01
lig_182-1,lig_3514-1,-0.73,0,0.01
lig_41138-4,lig_182-1,-0.20,0,0.01
lig_182-1,lig_17905-1,-0.77,0,0.01
lig_10839-1,lig_182-1,1.80,0,0.01
lig_182-1,lig_4357-1,2.44,0,0.01
lig_27098-1,lig_182-1,-1.76,0,0.01
lig_14989-1,lig_182-1,-0.55,0,0.01
lig_14828-1,lig_182-1,0.56,0,0.01
lig_182-1,lig_15485-1,1.88,0,0.01
lig_41644-2,lig_182-1,1.07,0,0.01
lig_16598-4,lig_182-1,-2.23,0,0.01
lig_29605-2,lig_182-1,-5.54,0,0.01
lig_29605-1,lig_182-1,-1.60,0,0.01
lig_29605-3,lig_182-1,-2.51,0,0.01
lig_35181-4,lig_182-1,-0.84,0,0.01
lig_16635-2,lig_182-1,1.80,0,0.01
lig_27976-1,lig_182-1,-1.42,0,0.01
lig_21488-2,lig_182-1,-2.84,0,0.01
lig_27396-2,lig_182-1,1.10,0,0.01
lig_10504-6,lig_182-1,-1.05,0,0.01
lig_35181-8,lig_182-1,-1.42,0,0.01
lig_13810-1,lig_182-1,-2.47,0,0.01
lig_182-1,lig_44002-3,5.66,0,0.01
lig_3568-1,lig_182-1,0.85,0,0.01
lig_2733-1,lig_182-1,-1.40,0,0.01
lig_182-1,lig_18799-1,3.37,0,0.01
lig_182-1,lig_42003-1,0.25,0,0.01
lig_21342-1,lig_182-1,-2.34,0,0.01
lig_15807-1,lig_182-1,-1.06,0,0.01
lig_3862-1,lig_182-1,-1.36,0,0.01
lig_21341-1,lig_182-1,1.75,0,0.01
lig_42598-1,lig_182-1,-5.56,0,0.01
lig_37772-2,lig_182-1,4.20,0,0.01
lig_34976-2,lig_182-1,0.22,0,0.01
lig_4465-2,lig_182-1,0.81,0,0.01
lig_33362-1,lig_182-1,5.41,0,0.01
lig_41752-1,lig_182-1,4.17,0,0.01
lig_11344-2,lig_182-1,-2.07,0,0.01
lig_29596-2,lig_182-1,-2.32,0,0.01
lig_42436-1,lig_182-1,-0.26,0,0.01
lig_14694-1,lig_182-1,1.04,0,0.01
lig_22072-1,lig_182-1,-3.25,0,0.01
lig_3839-1,lig_182-1,-7.60,0,0.01
lig_32276-3,lig_182-1,2.84,0,0.01
lig_43351-1,lig_182-1,-1.33,0,0.01
lig_16334-1,lig_20758-1,0.77,0,0.01
lig_16334-1,lig_32453-1,-1.77,0,0.01
lig_15552-1,lig_16334-1,0.91,0,0.01
lig_16334-1,lig_20693-1,1.21,0,0.01
lig_36659-1,lig_16334-1,1.30,0,0.01
lig_16334-1,lig_20754-3,-2.46,0,0.01
lig_20772-1,lig_16334-1,1.63,0,0.01
lig_7127-2,lig_16334-1,-0.58,0,0.01
lig_8384-1,lig_16334-1,3.72,0,0.01
lig_27561-1,lig_16334-1,1.64,0,0.01
lig_16334-1,lig_17260-1,-0.71,0,0.01
lig_17305-2,lig_16334-1,0.59,0,0.01
lig_14594-1,lig_16334-1,1.04,0,0.01
lig_21334-1,lig_20758-6,3.04,0,0.01
lig_20758-6,lig_25919-1,4.69,0,0.01
lig_20758-6,lig_20747-2,2.55,0,0.01
lig_10694-1,lig_20758-6,1.47,0,0.01
lig_8384-1,lig_20746-1,1.16,0,0.01
lig_30805-2,lig_20746-1,-0.58,0,0.01
lig_20746-1,lig_8432-1,-0.25,0,0.01
lig_27565-2,lig_27566-1,2.15,0,0.01
lig_27565-2,lig_17688-1,0.10,0,0.01
lig_27565-2,lig_20706-1,0.52,0,0.01
lig_27565-2,lig_30805-1,2.13,0,0.01
lig_27565-2,lig_2739-2,3.02,0,0.01
lig_20774-6,lig_20758-5,0.54,0,0.01
lig_14914-1,lig_20758-5,1.96,0,0.01
lig_20758-5,lig_5718-1,-2.62,0,0.01
lig_17694-1,lig_20758-5,0.82,0,0.01
lig_17305-2,lig_20758-5,0.43,0,0.01
lig_15546-1,lig_20758-1,3.49,0,0.01
lig_25919-2,lig_20758-1,-4.47,0,0.01
lig_20758-1,lig_16357-2,-2.65,0,0.01
lig_8423-1,lig_20758-1,-1.59,0,0.01
lig_16509-1,lig_20746-4,3.91,0,0.01
lig_29840-1,lig_20746-4,1.97,0,0.01
lig_19291-1,lig_20746-4,5.90,0,0.01
lig_10683-1,lig_20746-4,0.19,0,0.01
lig_19260-1,lig_20714-3,0.73,0,0.01
lig_37083-2,lig_20714-3,-0.16,0,0.01
lig_20774-1,lig_23901-1,-4.21,0,0.01
lig_20774-1,lig_2949-1,-2.97,0,0.01
lig_20774-1,lig_7103-1,-2.91,0,0.01
lig_20774-1,lig_2714-1,-1.57,0,0.01
lig_20714-6,lig_21812-1,-0.52,0,0.01
lig_20714-6,lig_25919-1,-1.03,0,0.01
lig_20714-6,lig_16357-2,0.84,0,0.01
lig_20714-6,lig_20750-2,-2.93,0,0.01
lig_16357-1,lig_20714-1,3.15,0,0.01
lig_25919-1,lig_20714-1,-3.32,0,0.01
lig_17268-1,lig_20714-1,-9.07,0,0.01
lig_5714-1,lig_20714-1,-0.40,0,0.01
lig_10541-1,lig_5718-2,0.53,0,0.01
lig_10541-1,lig_16199-1,0.14,0,0.01
lig_10541-1,lig_11368-2,2.66,0,0.01
lig_10541-1,lig_20693-1,4.42,0,0.01
lig_10541-1,lig_22030-1,1.87,0,0.01
lig_10541-1,lig_20754-1,0.07,0,0.01
lig_10541-1,lig_8384-1,-1.51,0,0.01
lig_10541-1,lig_34827-2,2.03,0,0.01
lig_10541-1,lig_2714-1,-0.19,0,0.01
lig_8401-1,lig_10541-1,-2.87,0,0.01
lig_2338-2,lig_20774-2,5.27,0,0.01
lig_20774-2,lig_29535-1,-1.19,0,0.01
lig_20774-2,lig_18296-3,0.55,0,0.01
lig_20774-2,lig_14119-1,4.12,0,0.01
lig_20774-6,lig_5718-1,-0.51,0,0.01
lig_20774-6,lig_27573-1,-2.28,0,0.01
lig_27566-4,lig_27566-3,1.37,0,0.01
lig_20709-1,lig_27566-3,0.29,0,0.01
lig_41313-1,lig_27566-3,-0.40,0,0.01
lig_21334-1,lig_27566-3,2.71,0,0.01
lig_27566-3,lig_36670-1,-3.99,0,0.01
lig_20726-1,lig_27566-3,-1.82,0,0.01
lig_20706-3,lig_27566-3,0.22,0,0.01
lig_20771-2,lig_27566-3,-2.48,0,0.01
lig_9745-1,lig_27566-3,2.99,0,0.01
lig_10694-1,lig_27566-3,2.63,0,0.01
lig_17256-1,lig_27566-3,1.73,0,0.01
lig_42640-1,lig_27566-3,-0.13,0,0.01
lig_8401-1,lig_27566-3,-0.81,0,0.01
