,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
0,edge_lig_14876-4_lig_182-1,1.8599999999999994,0,0,1
1,edge_lig_21641-1_lig_182-1,-3.509999999999998,0,0,1
2,edge_lig_182-1_lig_39967-1,-4.07,0,0,1
3,edge_lig_182-1_lig_3514-1,-0.7300000000000004,0,0,1
4,edge_lig_41138-4_lig_182-1,-0.20000000000000284,0,0,1
5,edge_lig_182-1_lig_17905-1,-0.7700000000000031,0,0,1
6,edge_lig_10839-1_lig_182-1,1.8000000000000007,0,0,1
7,edge_lig_182-1_lig_4357-1,2.4400000000000013,0,0,1
8,edge_lig_27098-1_lig_182-1,-1.7600000000000016,0,0,1
9,edge_lig_14989-1_lig_182-1,-0.5500000000000007,0,0,1
10,edge_lig_14828-1_lig_182-1,0.56,0,0,1
11,edge_lig_182-1_lig_15485-1,1.8799999999999955,0,0,1
12,edge_lig_41644-2_lig_182-1,1.0700000000000003,0,0,1
13,edge_lig_16598-4_lig_182-1,-2.229999999999997,0,0,1
14,edge_lig_29605-2_lig_182-1,-5.539999999999999,0,0,1
15,edge_lig_29605-1_lig_182-1,-1.6000000000000014,0,0,1
16,edge_lig_29605-3_lig_182-1,-2.509999999999998,0,0,1
17,edge_lig_35181-4_lig_182-1,-0.8400000000000034,0,0,1
18,edge_lig_16635-2_lig_182-1,1.8000000000000043,0,0,1
19,edge_lig_27976-1_lig_182-1,-1.42,0,0,1
20,edge_lig_21488-2_lig_182-1,-2.84,0,0,1
21,edge_lig_27396-2_lig_182-1,1.1000000000000005,0,0,1
22,edge_lig_10504-6_lig_182-1,-1.05,0,0,1
23,edge_lig_35181-8_lig_182-1,-1.4200000000000017,0,0,1
24,edge_lig_13810-1_lig_182-1,-2.470000000000006,0,0,1
25,edge_lig_182-1_lig_44002-3,5.66,0,0,1
26,edge_lig_3568-1_lig_182-1,0.8500000000000014,0,0,1
27,edge_lig_2733-1_lig_182-1,-1.4000000000000004,0,0,1
28,edge_lig_182-1_lig_18799-1,3.3699999999999974,0,0,1
29,edge_lig_182-1_lig_42003-1,0.25,0,0,1
30,edge_lig_21342-1_lig_182-1,-2.3400000000000034,0,0,1
31,edge_lig_15807-1_lig_182-1,-1.0600000000000023,0,0,1
32,edge_lig_3862-1_lig_182-1,-1.3599999999999994,0,0,1
33,edge_lig_21341-1_lig_182-1,1.75,0,0,1
34,edge_lig_42598-1_lig_182-1,-5.560000000000002,0,0,1
35,edge_lig_37772-2_lig_182-1,4.199999999999999,0,0,1
36,edge_lig_34976-2_lig_182-1,0.22000000000000064,0,0,1
37,edge_lig_4465-2_lig_182-1,0.8099999999999987,0,0,1
38,edge_lig_33362-1_lig_182-1,5.41,0,0,1
39,edge_lig_41752-1_lig_182-1,4.17,0,0,1
40,edge_lig_11344-2_lig_182-1,-2.0700000000000003,0,0,1
41,edge_lig_29596-2_lig_182-1,-2.3200000000000003,0,0,1
42,edge_lig_42436-1_lig_182-1,-0.2599999999999998,0,0,1
43,edge_lig_14694-1_lig_182-1,1.04,0,0,1
44,edge_lig_22072-1_lig_182-1,-3.2499999999999964,0,0,1
45,edge_lig_3839-1_lig_182-1,-7.599999999999998,0,0,1
46,edge_lig_32276-3_lig_182-1,2.84,0,0,1
47,edge_lig_43351-1_lig_182-1,-1.33,0,0,1
48,edge_lig_16334-1_lig_20758-1,0.77,0,0,1
49,edge_lig_16334-1_lig_32453-1,-1.7700000000000031,0,0,1
50,edge_lig_15552-1_lig_16334-1,0.9100000000000001,0,0,1
51,edge_lig_16334-1_lig_20693-1,1.2100000000000009,0,0,1
52,edge_lig_36659-1_lig_16334-1,1.2999999999999972,0,0,1
